Command main.py play --no-gui --agents ppo3_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 55, Game Loss -2.1985106082555494e+18, Mean Loss -4.691700640676577e+17, Actions 5, Mean reward 1143.6124696270847, Final reward 0.0,  Reward 400.0, Record 3898.774193548388
Game 56, Game Loss -1.8715891051171676e+18, Mean Loss -4.9421322809665126e+17, Actions 6, Mean reward 1132.958675526601, Final reward 0.5,  Reward 547.0, Record 3898.774193548388
Game 57, Game Loss -2.285388794402177e+18, Mean Loss -5.2563737349770445e+17, Actions 14, Mean reward 1138.6360922466856, Final reward 1.0,  Reward 1456.5714285714284, Record 3898.774193548388
Game 58, Game Loss -2.0411882239458017e+18, Mean Loss -5.517675765694464e+17, Actions 7, Mean reward 1129.6940906562254, Final reward 0.0,  Reward 620.0, Record 3898.774193548388
Game 59, Game Loss -3.2530997643334124e+18, Mean Loss -5.975528900174807e+17, Actions 18, Mean reward 1141.1343038089449, Final reward 1.0,  Reward 1804.6666666666667, Record 3898.774193548388
Game 60, Game Loss -2.761250554955956e+18, Mean Loss -6.336145349463245e+17, Actions 5, Mean reward 1129.657065412129, Final reward 0.5,  Reward 452.5, Record 3898.774193548388
Game 61, Game Loss -3.7865577922407956e+18, Mean Loss -6.853021642512138e+17, Actions 11, Mean reward 1129.0779878370668, Final reward 1.0,  Reward 1094.3333333333333, Record 3898.774193548388
Game 62, Game Loss -3.5656439159880417e+18, Mean Loss -7.31759348023296e+17, Actions 12, Mean reward 1128.6089880332431, Final reward 0.0,  Reward 1100.0, Record 3898.774193548388
Game 63, Game Loss -2.400880946027954e+18, Mean Loss -7.5825331764514e+17, Actions 5, Mean reward 1118.3929723501758, Final reward 1.0,  Reward 485.0, Record 3898.774193548388
Game 64, Game Loss -3.5267989948124365e+18, Mean Loss -8.015118159335916e+17, Actions 9, Mean reward 1113.4180821572043, Final reward 0.0,  Reward 800.0, Record 3898.774193548388
Game 65, Game Loss -3.8848964629616394e+18, Mean Loss -8.48948458407592e+17, Actions 11, Mean reward 1111.9808808932473, Final reward 0.0,  Reward 1020.0, Record 3898.774193548388
Game 66, Game Loss -4.4336709627218493e+18, Mean Loss -9.032624773938545e+17, Actions 16, Mean reward 1121.050041100099, Final reward 2.0,  Reward 1710.5454545454545, Record 3898.774193548388
