Game 128, Final reward 1.2727272727272727, Action Counter 22, plot_mean_rewards2.634364499736346,  Reward 36.27272727272727, Record 37.73026315789474
Game 129, Final reward 0.34125, Action Counter 40, plot_mean_rewards2.728991519118235,  Reward 14.841249999999999, Record 37.73026315789474
Game 130, Final reward 0.10161290322580645, Action Counter 31, plot_mean_rewards2.701088606688293,  Reward -0.8983870967741936, Record 37.73026315789474
Game 131, Final reward 0.06847826086956521, Action Counter 92, plot_mean_rewards2.7115266956515085,  Reward 4.068478260869565, Record 37.73026315789474
Game 132, Final reward -0.0525, Action Counter 20, plot_mean_rewards2.6375567964420275,  Reward -7.0525, Record 37.73026315789474
Game 133, Final reward -0.055263157894736833, Action Counter 19, plot_mean_rewards2.568437849416939,  Reward -6.5552631578947365, Record 37.73026315789474
Game 134, Final reward -0.0875, Action Counter 8, plot_mean_rewards2.5038412983018876,  Reward -6.0875, Record 37.73026315789474
Game 135, Final reward 0.2138888888888889, Action Counter 18, plot_mean_rewards2.490582391565495,  Reward 0.7138888888888886, Record 37.73026315789474
Game 136, Final reward 0.35, Action Counter 8, plot_mean_rewards2.463813403392219,  Reward -1.1500000000000004, Record 37.73026315789474
Game 137, Final reward -0.061764705882352944, Action Counter 34, plot_mean_rewards2.3869843660982446,  Reward -8.061764705882354, Record 37.73026315789474
Game 138, Final reward -0.21, Action Counter 5, plot_mean_rewards2.317441001126518,  Reward -7.21, Record 37.73026315789474
Game 139, Final reward -0.21, Action Counter 5, plot_mean_rewards2.2488982601112197,  Reward -7.21, Record 37.73026315789474
Game 140, Final reward 1.26, Action Counter 5, plot_mean_rewards2.266834701110425,  Reward 4.76, Record 37.73026315789474
Game 141, Final reward -0.21, Action Counter 5, plot_mean_rewards2.199623107485529,  Reward -7.21, Record 37.73026315789474
Game 142, Final reward 0.5833333333333334, Action Counter 21, plot_mean_rewards2.3114802217520625,  Reward 18.083333333333332, Record 37.73026315789474
Game 143, Final reward 0.4666666666666666, Action Counter 6, plot_mean_rewards2.2880899171710456,  Reward -1.0333333333333332, Record 37.73026315789474
Game 144, Final reward 0.4666666666666666, Action Counter 6, plot_mean_rewards2.2650244779314317,  Reward -1.0333333333333332, Record 37.73026315789474
Game 145, Final reward 0.4038461538461538, Action Counter 13, plot_mean_rewards2.2659818687998086,  Reward 2.403846153846154, Record 37.73026315789474
Game 146, Final reward 0.04666666666666666, Action Counter 15, plot_mean_rewards2.2233838194701296,  Reward -3.953333333333333, Record 37.73026315789474
Game 147, Final reward 0.2916666666666667, Action Counter 18, plot_mean_rewards2.22724968917895,  Reward 2.791666666666667, Record 37.73026315789474
Game 148, Final reward -0.031818181818181815, Action Counter 11, plot_mean_rewards2.1714451765370772,  Reward -6.031818181818182, Record 37.73026315789474
Game 149, Final reward -0.03255813953488372, Action Counter 43, plot_mean_rewards2.109673342201024,  Reward -7.032558139534884, Record 37.73026315789474
