Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 66, Game Loss 0.29276859760284424, Mean Loss 687548800.0, Actions 54, Mean reward 2801.2975083378365, Final reward 1.0,  Reward 6224.85343199453, Record 11094.002634497492
Game 67, Game Loss 0.29303041100502014, Mean Loss 677286848.0, Actions 13, Mean reward 2769.0393365716004, Final reward 0.0,  Reward 640.0, Record 11094.002634497492
Game 68, Game Loss 0.28543829917907715, Mean Loss 667326784.0, Actions 15, Mean reward 2757.0561426217005, Final reward 1.0,  Reward 1954.182147978427, Record 11094.002634497492
Game 69, Game Loss 0.2906326651573181, Mean Loss 657655360.0, Actions 52, Mean reward 2806.4498753992502, Final reward 2.5,  Reward 6165.223704272607, Record 11094.002634497492
Game 70, Game Loss 0.2815302312374115, Mean Loss 648260288.0, Actions 44, Mean reward 2842.894609503413, Final reward 2.5,  Reward 5357.581262690645, Record 11094.002634497492
Game 71, Game Loss 0.30063876509666443, Mean Loss 639129856.0, Actions 38, Mean reward 2864.7191152996006, Final reward 0.5,  Reward 4392.43452103274, Record 11094.002634497492
Game 72, Game Loss 0.31171247363090515, Mean Loss 630253056.0, Actions 22, Mean reward 2857.871881532311, Final reward 1.0,  Reward 2371.7182840547557, Record 11094.002634497492
Game 73, Game Loss 0.29067492485046387, Mean Loss 621619456.0, Actions 15, Mean reward 2842.8336660220475, Final reward 1.0,  Reward 1760.0821492830908, Record 11094.002634497492
Game 74, Game Loss 0.27398255467414856, Mean Loss 613219200.0, Actions 27, Mean reward 2852.7999357850726, Final reward 1.5,  Reward 3580.337628485885, Record 11094.002634497492
Game 75, Game Loss 0.31692031025886536, Mean Loss 605042944.0, Actions 50, Mean reward 2873.9666059911888, Final reward 0.5,  Reward 4440.300201243783, Record 11094.002634497492
Game 76, Game Loss 0.3404255509376526, Mean Loss 597081856.0, Actions 45, Mean reward 2914.026901505907, Final reward 2.0,  Reward 5918.549065109773, Record 11094.002634497492
Game 77, Game Loss 0.3150504231452942, Mean Loss 589327552.0, Actions 14, Mean reward 2893.7688436337025, Final reward 1.0,  Reward 1354.1564453461679, Record 11094.002634497492
Game 78, Game Loss 0.30982109904289246, Mean Loss 581772032.0, Actions 15, Mean reward 2875.0621647269854, Final reward 0.5,  Reward 1434.6478889097546, Record 11094.002634497492
Game 79, Game Loss 0.28345826268196106, Mean Loss 574407872.0, Actions 15, Mean reward 2855.503166805327, Final reward 0.5,  Reward 1329.9013289159934, Record 11094.002634497492
Game 80, Game Loss 0.2831069231033325, Mean Loss 567227776.0, Actions 36, Mean reward 2874.5906095581536, Final reward 2.5,  Reward 4382.498587031454, Record 11094.002634497492
Game 81, Game Loss 0.26627030968666077, Mean Loss 560224960.0, Actions 19, Mean reward 2855.2006020327444, Final reward 0.0,  Reward 1304.0, Record 11094.002634497492
Game 82, Game Loss 0.2716413736343384, Mean Loss 553392896.0, Actions 78, Mean reward 2913.3174569006915, Final reward 1.0,  Reward 7620.78270120441, Record 11094.002634497492
Game 83, Game Loss 0.25251278281211853, Mean Loss 546725568.0, Actions 29, Mean reward 2941.9511563567303, Final reward 3.0,  Reward 5289.914511751918, Record 11094.002634497492
Game 84, Game Loss 0.2799849808216095, Mean Loss 540216896.0, Actions 5, Mean reward 2915.30539190215, Final reward 1.0,  Reward 703.706942171968, Record 11094.002634497492
Game 85, Game Loss 0.2904972434043884, Mean Loss 533861408.0, Actions 34, Mean reward 2940.59633885097, Final reward 2.0,  Reward 5065.035882551852, Record 11094.002634497492
Game 86, Game Loss 0.2862556576728821, Mean Loss 527653728.0, Actions 108, Mean reward 3036.9212108787015, Final reward 2.5,  Reward 11224.535333235872, Record 11224.535333235872
Game 87, Game Loss 0.35606473684310913, Mean Loss 521588736.0, Actions 5, Mean reward 2999.9451050065322, Final reward 0.0,  Reward -180.0, Record 11224.535333235872
Game 88, Game Loss 0.29077935218811035, Mean Loss 515661600.0, Actions 47, Mean reward 3017.637231035987, Final reward 2.0,  Reward 4556.852195598519, Record 11224.535333235872
Game 89, Game Loss 0.2824055552482605, Mean Loss 509867648.0, Actions 23, Mean reward 2997.8487023633757, Final reward 0.5,  Reward 1256.4581791735773, Record 11224.535333235872
Game 90, Game Loss 0.26584723591804504, Mean Loss 504202432.0, Actions 14, Mean reward 2974.9392723371157, Final reward 0.5,  Reward 936.0, Record 11224.535333235872
Game 91, Game Loss 0.3092210590839386, Mean Loss 498661760.0, Actions 38, Mean reward 2979.8367088476352, Final reward 1.5,  Reward 3420.605994794383, Record 11224.535333235872
Game 92, Game Loss 0.26319965720176697, Mean Loss 493241536.0, Actions 36, Mean reward 2986.6357812817673, Final reward 2.0,  Reward 3605.351372787762, Record 11224.535333235872
Game 93, Game Loss 0.27348271012306213, Mean Loss 487937856.0, Actions 6, Mean reward 2965.705402242682, Final reward 1.0,  Reward 1040.110530646789, Record 11224.535333235872
