Game 109, Final reward 0, Action Counter 67, plot_mean_rewards-22.40366972477064,  Reward -60, Record 0
Game 110, Final reward 0, Action Counter 49, plot_mean_rewards-22.636363636363637,  Reward -48, Record 0
Game 111, Final reward 0, Action Counter 5, plot_mean_rewards-22.513513513513512,  Reward -9, Record 0
Game 112, Final reward 0, Action Counter 8, plot_mean_rewards-22.419642857142858,  Reward -12, Record 0
Game 113, Final reward 0, Action Counter 5, plot_mean_rewards-22.300884955752213,  Reward -9, Record 0
Game 114, Final reward 0, Action Counter 6, plot_mean_rewards-22.157894736842106,  Reward -6, Record 0
Game 115, Final reward 0, Action Counter 14, plot_mean_rewards-22.121739130434783,  Reward -18, Record 0
Game 116, Final reward 0, Action Counter 7, plot_mean_rewards-22.00862068965517,  Reward -9, Record 0
Game 117, Final reward 0, Action Counter 6, plot_mean_rewards-21.94871794871795,  Reward -15, Record 0
Game 118, Final reward 0, Action Counter 8, plot_mean_rewards-21.864406779661017,  Reward -12, Record 0
Game 119, Final reward 0, Action Counter 12, plot_mean_rewards-21.831932773109244,  Reward -18, Record 0
Game 120, Final reward 0, Action Counter 6, plot_mean_rewards-21.75,  Reward -12, Record 0
Game 121, Final reward 0, Action Counter 7, plot_mean_rewards-21.669421487603305,  Reward -12, Record 0
Game 122, Final reward 0, Action Counter 5, plot_mean_rewards-21.516393442622952,  Reward -3, Record 0
Game 123, Final reward 0, Action Counter 5, plot_mean_rewards-21.4390243902439,  Reward -12, Record 0
Game 124, Final reward 0, Action Counter 5, plot_mean_rewards-21.31451612903226,  Reward -6, Record 0
Game 125, Final reward 0, Action Counter 6, plot_mean_rewards-21.24,  Reward -12, Record 0
Game 126, Final reward 0, Action Counter 7, plot_mean_rewards-21.142857142857142,  Reward -9, Record 0
Game 127, Final reward 0, Action Counter 18, plot_mean_rewards-21.188976377952756,  Reward -27, Record 0
Game 128, Final reward 0, Action Counter 11, plot_mean_rewards-21.140625,  Reward -15, Record 0
Game 129, Final reward 0, Action Counter 6, plot_mean_rewards-21.046511627906977,  Reward -9, Record 0
Game 130, Final reward 0, Action Counter 5, plot_mean_rewards-20.93076923076923,  Reward -6, Record 0
Game 131, Final reward 0, Action Counter 7, plot_mean_rewards-20.81679389312977,  Reward -6, Record 0
Game 132, Final reward 0, Action Counter 6, plot_mean_rewards-20.75,  Reward -12, Record 0
Game 133, Final reward 0, Action Counter 5, plot_mean_rewards-20.616541353383457,  Reward -3, Record 0
Game 134, Final reward 0, Action Counter 8, plot_mean_rewards-20.529850746268657,  Reward -9, Record 0
Game 135, Final reward 0, Action Counter 5, plot_mean_rewards-20.466666666666665,  Reward -12, Record 0
Game 136, Final reward 0, Action Counter 15, plot_mean_rewards-20.49264705882353,  Reward -24, Record 0
Game 137, Final reward 0, Action Counter 16, plot_mean_rewards-20.40875912408759,  Reward -9, Record 0
Game 138, Final reward 0, Action Counter 102, plot_mean_rewards-21.02173913043478,  Reward -105, Record 0
Game 139, Final reward 0, Action Counter 22, plot_mean_rewards-21.086330935251798,  Reward -30, Record 0
Game 140, Final reward 0, Action Counter 24, plot_mean_rewards-21.15,  Reward -30, Record 0
Game 141, Final reward 0, Action Counter 16, plot_mean_rewards-21.106382978723403,  Reward -15, Record 0
Game 142, Final reward 0, Action Counter 8, plot_mean_rewards-21.0,  Reward -6, Record 0
Game 143, Final reward 0, Action Counter 16, plot_mean_rewards-20.916083916083917,  Reward -9, Record 0
Game 144, Final reward 0, Action Counter 48, plot_mean_rewards-21.0625,  Reward -42, Record 0
Game 145, Final reward 0, Action Counter 17, plot_mean_rewards-21.020689655172415,  Reward -15, Record 0
Game 146, Final reward 0, Action Counter 5, plot_mean_rewards-20.938356164383563,  Reward -9, Record 0
Game 147, Final reward 0, Action Counter 8, plot_mean_rewards-20.877551020408163,  Reward -12, Record 0
Game 148, Final reward 0, Action Counter 6, plot_mean_rewards-20.81756756756757,  Reward -12, Record 0
Game 149, Final reward 0, Action Counter 5, plot_mean_rewards-20.738255033557046,  Reward -9, Record 0
Game 150, Final reward 0, Action Counter 11, plot_mean_rewards-20.66,  Reward -9, Record 0
Game 151, Final reward 0, Action Counter 6, plot_mean_rewards-20.582781456953644,  Reward -9, Record 0
Game 152, Final reward 0, Action Counter 6, plot_mean_rewards-20.526315789473685,  Reward -12, Record 0
Game 153, Final reward 0, Action Counter 6, plot_mean_rewards-20.45098039215686,  Reward -9, Record 0
Game 154, Final reward 0, Action Counter 12, plot_mean_rewards-20.396103896103895,  Reward -12, Record 0
Game 155, Final reward 0, Action Counter 33, plot_mean_rewards-20.496774193548386,  Reward -36, Record 0
Game 156, Final reward 0, Action Counter 12, plot_mean_rewards-20.423076923076923,  Reward -9, Record 0
Game 157, Final reward 0, Action Counter 10, plot_mean_rewards-20.369426751592357,  Reward -12, Record 0
Game 158, Final reward 0, Action Counter 32, plot_mean_rewards-20.50632911392405,  Reward -42, Record 0
Game 159, Final reward 0, Action Counter 9, plot_mean_rewards-20.471698113207548,  Reward -15, Record 0
Game 160, Final reward 0, Action Counter 9, plot_mean_rewards-20.45625,  Reward -18, Record 0
Game 161, Final reward 0, Action Counter 6, plot_mean_rewards-20.403726708074533,  Reward -12, Record 0
Game 162, Final reward 0, Action Counter 13, plot_mean_rewards-20.37037037037037,  Reward -15, Record 0
Game 163, Final reward 0, Action Counter 26, plot_mean_rewards-20.411042944785276,  Reward -27, Record 0
Game 164, Final reward 0, Action Counter 5, plot_mean_rewards-20.304878048780488,  Reward -3, Record 0
Game 165, Final reward 0, Action Counter 5, plot_mean_rewards-20.254545454545454,  Reward -12, Record 0
Game 166, Final reward 0, Action Counter 12, plot_mean_rewards-20.22289156626506,  Reward -15, Record 0
Game 167, Final reward 0, Action Counter 28, plot_mean_rewards-20.29940119760479,  Reward -33, Record 0
Game 168, Final reward 0, Action Counter 30, plot_mean_rewards-20.446428571428573,  Reward -45, Record 0
Game 169, Final reward 0, Action Counter 7, plot_mean_rewards-20.414201183431953,  Reward -15, Record 0
