Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 94, Game Loss -563549101359104.0, Mean Loss -91172533960704.0, Actions 5, Mean reward -85.27659574468085, Final reward 0.0,  Reward -200.0, Record 388.0
Game 95, Game Loss -560315997618176.0, Mean Loss -96110890713088.0, Actions 5, Mean reward -86.27368421052631, Final reward 0.0,  Reward -180.0, Record 388.0
Game 96, Game Loss -561639652851712.0, Mean Loss -100960152059904.0, Actions 8, Mean reward -82.04166666666667, Final reward 0.0,  Reward 320.0, Record 388.0
Game 97, Game Loss -623512951717888.0, Mean Loss -106347299340288.0, Actions 5, Mean reward -83.05154639175258, Final reward 0.0,  Reward -180.0, Record 388.0
Game 98, Game Loss -651644786180096.0, Mean Loss -111911555301376.0, Actions 5, Mean reward -84.04081632653062, Final reward 0.0,  Reward -180.0, Record 388.0
Game 99, Game Loss -682159119532032.0, Mean Loss -117671626539008.0, Actions 5, Mean reward -85.01010101010101, Final reward 0.0,  Reward -180.0, Record 388.0
Game 100, Game Loss -741562141114368.0, Mean Loss -123910536298496.0, Actions 7, Mean reward -84.16, Final reward 0.0,  Reward 0.0, Record 388.0
Game 101, Game Loss -844220382314496.0, Mean Loss -131042321104896.0, Actions 5, Mean reward -85.3069306930693, Final reward 0.0,  Reward -200.0, Record 388.0
Game 102, Game Loss -816484490149888.0, Mean Loss -137762342699008.0, Actions 5, Mean reward -86.43137254901961, Final reward 0.0,  Reward -200.0, Record 388.0
Game 103, Game Loss -753656701911040.0, Mean Loss -143741901864960.0, Actions 18, Mean reward -83.20388349514563, Final reward 0.0,  Reward 246.0, Record 388.0
Game 104, Game Loss -872597231239168.0, Mean Loss -150750130864128.0, Actions 10, Mean reward -85.09615384615384, Final reward 0.0,  Reward -280.0, Record 388.0
Game 105, Game Loss -844952540020736.0, Mean Loss -157361578704896.0, Actions 5, Mean reward -85.80952380952381, Final reward 0.0,  Reward -160.0, Record 388.0
Game 106, Game Loss -1092515260268544.0, Mean Loss -166183777075200.0, Actions 5, Mean reward -86.88679245283019, Final reward 0.0,  Reward -200.0, Record 388.0
Game 107, Game Loss -1157011307757568.0, Mean Loss -175443860783104.0, Actions 5, Mean reward -87.94392523364486, Final reward 0.0,  Reward -200.0, Record 388.0
Game 108, Game Loss -1255732339015680.0, Mean Loss -185446520848384.0, Actions 5, Mean reward -88.79629629629629, Final reward 0.0,  Reward -180.0, Record 388.0
Game 109, Game Loss -1082105870155776.0, Mean Loss -193672758951936.0, Actions 9, Mean reward -91.65137614678899, Final reward 0.0,  Reward -400.0, Record 388.0
Game 110, Game Loss -1196255229247488.0, Mean Loss -202787149316096.0, Actions 6, Mean reward -93.36363636363636, Final reward 0.0,  Reward -280.0, Record 388.0
Game 111, Game Loss -1186552629690368.0, Mean Loss -211649914994688.0, Actions 5, Mean reward -92.34234234234235, Final reward 0.0,  Reward 20.0, Record 388.0
Game 112, Game Loss -1188073584984064.0, Mean Loss -220367977185280.0, Actions 7, Mean reward -89.55357142857143, Final reward 0.0,  Reward 220.0, Record 388.0
Game 113, Game Loss -1523326518296576.0, Mean Loss -231898588643328.0, Actions 5, Mean reward -90.35398230088495, Final reward 0.0,  Reward -180.0, Record 388.0
Game 114, Game Loss -1449664742162432.0, Mean Loss -242580759511040.0, Actions 5, Mean reward -91.3157894736842, Final reward 0.0,  Reward -200.0, Record 388.0
Game 115, Game Loss -1752233242787840.0, Mean Loss -255708159279104.0, Actions 5, Mean reward -92.26086956521739, Final reward 0.0,  Reward -200.0, Record 388.0
Game 116, Game Loss -1632455329054720.0, Mean Loss -267576663867392.0, Actions 5, Mean reward -93.01724137931035, Final reward 0.0,  Reward -180.0, Record 388.0
Game 117, Game Loss -1655812971823104.0, Mean Loss -279441930452992.0, Actions 6, Mean reward -92.90598290598291, Final reward 0.0,  Reward -80.0, Record 388.0
Game 118, Game Loss -1681776183345152.0, Mean Loss -291326121738240.0, Actions 7, Mean reward -92.11864406779661, Final reward 0.0,  Reward 0.0, Record 388.0
Game 119, Game Loss -2075412486160384.0, Mean Loss -306318443282432.0, Actions 5, Mean reward -93.02521008403362, Final reward 0.0,  Reward -200.0, Record 388.0
Game 120, Game Loss -1704879215083520.0, Mean Loss -317973105475584.0, Actions 16, Mean reward -90.71666666666667, Final reward 0.0,  Reward 184.0, Record 388.0
Game 121, Game Loss -1865356641566720.0, Mean Loss -330761404153856.0, Actions 8, Mean reward -93.93388429752066, Final reward 0.0,  Reward -480.0, Record 388.0
Game 122, Game Loss -2022885573001216.0, Mean Loss -344631262838784.0, Actions 5, Mean reward -94.63934426229508, Final reward 0.0,  Reward -180.0, Record 388.0
Game 123, Game Loss -2058762105913344.0, Mean Loss -358567290863616.0, Actions 15, Mean reward -94.65040650406505, Final reward 0.0,  Reward -96.0, Record 388.0
Game 124, Game Loss -2300652113887232.0, Mean Loss -374229258207232.0, Actions 6, Mean reward -96.30645161290323, Final reward 0.0,  Reward -300.0, Record 388.0
Game 125, Game Loss -2030723217227776.0, Mean Loss -387481245581312.0, Actions 5, Mean reward -96.976, Final reward 0.0,  Reward -180.0, Record 388.0
Game 126, Game Loss -2565732931993600.0, Mean Loss -404768925155328.0, Actions 6, Mean reward -98.58730158730158, Final reward 0.0,  Reward -300.0, Record 388.0
Game 127, Game Loss -2440261099585536.0, Mean Loss -420796434481152.0, Actions 7, Mean reward -99.38582677165354, Final reward 0.0,  Reward -200.0, Record 388.0
Game 128, Game Loss -2440674490187776.0, Mean Loss -436576748306432.0, Actions 5, Mean reward -98.453125, Final reward 0.0,  Reward 20.0, Record 388.0
Game 129, Game Loss -2998643355287552.0, Mean Loss -456437717270528.0, Actions 5, Mean reward -99.24031007751938, Final reward 0.0,  Reward -200.0, Record 388.0
Game 130, Game Loss -3246219765743616.0, Mean Loss -477897588473856.0, Actions 5, Mean reward -100.01538461538462, Final reward 0.0,  Reward -200.0, Record 388.0
Game 131, Game Loss -2575253532311552.0, Mean Loss -493907917930496.0, Actions 7, Mean reward -99.09923664122137, Final reward 0.0,  Reward 20.0, Record 388.0
