python main.py play --no-gui --agents my_agent --train 1 --scenario coin-heaven --n-rounds 20001
random_prob = 0.65
random_vec=[0.23, 0.23, 0.23, 0.23, 0.01, 0.07]
Game 133, Game Loss 11.06775188446045, Mean Loss 18000.208984375, Actions 5, Mean reward 115.93788811399499, Final reward 0.0,  Reward 35.5, Record 1656.9959118773195
Game 134, Game Loss 35.46851348876953, Mean Loss 17866.14453125, Actions 5, Mean reward 115.2592471579204, Final reward 0.5,  Reward 25.0, Record 1656.9959118773195
Game 135, Game Loss 15.867900848388672, Mean Loss 17733.91796875, Actions 6, Mean reward 114.77584532712099, Final reward 0.5,  Reward 50.0, Record 1656.9959118773195
Game 136, Game Loss 16.573802947998047, Mean Loss 17603.642578125, Actions 6, Mean reward 113.99808175853921, Final reward 0.5,  Reward 9.0, Record 1656.9959118773195
Game 137, Game Loss 16.93001937866211, Mean Loss 17475.2734375, Actions 172, Mean reward 115.15126255930737, Final reward 6.0,  Reward 271.98385146377524, Record 1656.9959118773195
Game 138, Game Loss 7.311629772186279, Mean Loss 17348.693359375, Actions 278, Mean reward 120.47709057363892, Final reward 6.5,  Reward 850.1155285370619, Record 1656.9959118773195
Game 139, Game Loss 12.486801147460938, Mean Loss 17223.97265625, Actions 206, Mean reward 121.4558761457112, Final reward 6.5,  Reward 256.5282850916844, Record 1656.9959118773195
Game 140, Game Loss 9.643310546875, Mean Loss 17101.013671875, Actions 241, Mean reward 130.44561979296225, Final reward 8.0,  Reward 1380.0199867608567, Record 1656.9959118773195
Game 141, Game Loss 36.978084564208984, Mean Loss 16979.9921875, Actions 5, Mean reward 129.8679912837923, Final reward 0.5,  Reward 49.0, Record 1656.9959118773195
Game 142, Game Loss 12.187183380126953, Mean Loss 16860.501953125, Actions 9, Mean reward 128.75272373954024, Final reward 0.0,  Reward -28.5, Record 1656.9959118773195
Game 143, Game Loss 2.0495095252990723, Mean Loss 16742.609375, Actions 16, Mean reward 127.65305434276023, Final reward 0.0,  Reward -28.5, Record 1656.9959118773195
Game 144, Game Loss 7.531035900115967, Mean Loss 16626.39453125, Actions 7, Mean reward 126.95754702093551, Final reward 0.0,  Reward 27.5, Record 1656.9959118773195
Game 145, Game Loss 13.653084754943848, Mean Loss 16511.82421875, Actions 15, Mean reward 126.21990876561871, Final reward 0.5,  Reward 20.0, Record 1656.9959118773195
Game 146, Game Loss 8.430957794189453, Mean Loss 16398.787109375, Actions 7, Mean reward 125.37936144530626, Final reward 0.0,  Reward 3.5, Record 1656.9959118773195
Game 147, Game Loss 11.317366600036621, Mean Loss 16287.3076171875, Actions 5, Mean reward 124.71351544907968, Final reward 0.0,  Reward 27.5, Record 1656.9959118773195
Game 148, Game Loss 10.103466987609863, Mean Loss 16177.326171875, Actions 8, Mean reward 124.13774845280211, Final reward 0.0,  Reward 39.5, Record 1656.9959118773195
Game 149, Game Loss 16.698402404785156, Mean Loss 16068.8662109375, Actions 6, Mean reward 123.58313269137392, Final reward 0.5,  Reward 41.5, Record 1656.9959118773195
Game 150, Game Loss 14.59360122680664, Mean Loss 15961.8369140625, Actions 9, Mean reward 123.02702291787587, Final reward 1.0,  Reward 40.166666666666664, Record 1656.9959118773195
Game 151, Game Loss 36.35400390625, Mean Loss 15856.369140625, Actions 5, Mean reward 122.58975786543961, Final reward 0.5,  Reward 57.0, Record 1656.9959118773195
Game 152, Game Loss 4.819262981414795, Mean Loss 15752.08203125, Actions 12, Mean reward 121.96416735316699, Final reward 0.0,  Reward 27.5, Record 1656.9959118773195
Game 153, Game Loss 14.75760269165039, Mean Loss 15649.2236328125, Actions 6, Mean reward 121.13760416785216, Final reward 0.0,  Reward -4.5, Record 1656.9959118773195
Game 154, Game Loss 9.599117279052734, Mean Loss 15547.6669921875, Actions 125, Mean reward 120.66385691600486, Final reward 2.0,  Reward 48.18052738336712, Record 1656.9959118773195
Game 1, Game Loss 14522209.0, Mean Loss 14522209.0, Actions 103, Mean reward 320.407185204028, Final reward 5.0,  Reward 320.407185204028, Record 320.407185204028
Game 2, Game Loss 631.8792724609375, Mean Loss 7261420.5, Actions 7, Mean reward 173.953592602014, Final reward 0.0,  Reward 27.5, Record 320.407185204028
Game 3, Game Loss 71.4799575805664, Mean Loss 4840970.5, Actions 6, Mean reward 129.13572840134267, Final reward 1.0,  Reward 39.5, Record 320.407185204028
Game 4, Game Loss 66.97827911376953, Mean Loss 3630744.75, Actions 6, Mean reward 109.351796301007, Final reward 0.5,  Reward 50.0, Record 320.407185204028
Game 5, Game Loss 62.24919128417969, Mean Loss 2904608.25, Actions 5, Mean reward 96.9814370408056, Final reward 1.0,  Reward 47.5, Record 320.407185204028
Game 6, Game Loss 39.71984100341797, Mean Loss 2420513.5, Actions 5, Mean reward 91.81786420067134, Final reward 0.5,  Reward 66.0, Record 320.407185204028
Game 7, Game Loss 36.33195495605469, Mean Loss 2074731.0, Actions 21, Mean reward 94.415312172004, Final reward 0.5,  Reward 110.0, Record 320.407185204028
Game 8, Game Loss 11.568266868591309, Mean Loss 1815391.125, Actions 18, Mean reward 81.82012891973427, Final reward 1.0,  Reward -6.346153846153847, Record 320.407185204028
Game 9, Game Loss 15.320221900939941, Mean Loss 1613682.625, Actions 11, Mean reward 75.78455903976379, Final reward 0.0,  Reward 27.5, Record 320.407185204028
Game 10, Game Loss 16.333189010620117, Mean Loss 1452316.0, Actions 14, Mean reward 70.95610313578742, Final reward 0.0,  Reward 27.5, Record 320.407185204028
Game 11, Game Loss 21.065176010131836, Mean Loss 1320289.125, Actions 9, Mean reward 64.64191194162493, Final reward 0.5,  Reward 1.5, Record 320.407185204028
