Command main.py play --no-gui --agents imitation_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents imitation_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents imitation_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 74, Game Loss 12.842094421386719, Mean Loss 15.15369987487793, Actions 39, Mean reward -889.1891891891892, Reward -1400, Record 600
Game 75, Game Loss 15.360259056091309, Mean Loss 15.156453132629395, Actions 12, Mean reward -881.3333333333334, Reward -300, Record 600
Game 76, Game Loss 5.8861565589904785, Mean Loss 15.034475326538086, Actions 7, Mean reward -877.6315789473684, Reward -600, Record 600
Game 77, Game Loss 5.03431510925293, Mean Loss 14.904603004455566, Actions 10, Mean reward -877.922077922078, Reward -900, Record 600
Game 78, Game Loss 18.441835403442383, Mean Loss 14.949953079223633, Actions 7, Mean reward -866.6666666666666, Reward 0, Record 600
Game 79, Game Loss 7.087575912475586, Mean Loss 14.850428581237793, Actions 12, Mean reward -869.620253164557, Reward -1100, Record 600
Game 80, Game Loss 1.9291541576385498, Mean Loss 14.688913345336914, Actions 5, Mean reward -863.75, Reward -400, Record 600
Game 81, Game Loss 12.279690742492676, Mean Loss 14.65916919708252, Actions 20, Mean reward -856.7901234567901, Reward -300, Record 600
Game 82, Game Loss 5.932633876800537, Mean Loss 14.55274772644043, Actions 9, Mean reward -856.0975609756098, Reward -800, Record 600
Game 83, Game Loss 1.9019958972930908, Mean Loss 14.400328636169434, Actions 5, Mean reward -850.6024096385543, Reward -400, Record 600
Game 84, Game Loss 2.23579478263855, Mean Loss 14.255513191223145, Actions 5, Mean reward -845.2380952380952, Reward -400, Record 600
Game 85, Game Loss 1.7766025066375732, Mean Loss 14.108702659606934, Actions 5, Mean reward -840.0, Reward -400, Record 600
Game 86, Game Loss 2.045606851577759, Mean Loss 13.968435287475586, Actions 23, Mean reward -853.4883720930233, Reward -2000, Record 600
