Command main.py play --no-gui --agents ruly_train rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 112, Game Loss 0.4253982901573181, Mean Loss 0.6678261160850525, Actions 99, Mean reward 2284.8214285714284, Reward 5800, Record 6400
Game 113, Game Loss 0.3060061037540436, Mean Loss 0.6646241545677185, Actions 24, Mean reward 2276.1061946902655, Reward 1300, Record 6400
Game 114, Game Loss 0.5193280577659607, Mean Loss 0.6633496284484863, Actions 14, Mean reward 2264.035087719298, Reward 900, Record 6400
Command main.py play --no-gui --agents ruly_train --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 0.3632201850414276, Mean Loss 0.3632201850414276, Actions 101, Mean reward 5600.0, Reward 5600, Record 5600
Game 2, Game Loss 0.46441832184791565, Mean Loss 0.41381925344467163, Actions 56, Mean reward 4050.0, Reward 2500, Record 5600
Game 3, Game Loss 0.44590792059898376, Mean Loss 0.4245154857635498, Actions 139, Mean reward 4966.666666666667, Reward 6800, Record 6800
Game 4, Game Loss 0.28972554206848145, Mean Loss 0.3908179998397827, Actions 72, Mean reward 4900.0, Reward 4700, Record 6800
Command main.py play --no-gui --agents ruly_train rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 0.47567620873451233, Mean Loss 0.47567620873451233, Actions 72, Mean reward 4900.0, Reward 4900, Record 4900
Game 2, Game Loss 0.385459303855896, Mean Loss 0.43056774139404297, Actions 35, Mean reward 3350.0, Reward 1800, Record 4900
