Command main.py play --no-gui --agents train_rule_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 87, Game Loss 3.340043544769287, Mean Loss 19157088.0, Actions 20, Mean reward 1873.5632183908046, Reward 900, Record 7200
Game 88, Game Loss 3.1536569595336914, Mean Loss 18939394.0, Actions 9, Mean reward 1856.8181818181818, Reward 400, Record 7200
Game 89, Game Loss 2.317551612854004, Mean Loss 18726592.0, Actions 34, Mean reward 1866.2921348314608, Reward 2700, Record 7200
Game 90, Game Loss 2.820133686065674, Mean Loss 18518518.0, Actions 18, Mean reward 1857.7777777777778, Reward 1100, Record 7200
Game 91, Game Loss 7.017298698425293, Mean Loss 18315018.0, Actions 8, Mean reward 1840.6593406593406, Reward 300, Record 7200
Game 92, Game Loss 3.5634047985076904, Mean Loss 18115942.0, Actions 62, Mean reward 1858.695652173913, Reward 3500, Record 7200
Game 93, Game Loss 3.613560199737549, Mean Loss 17921146.0, Actions 40, Mean reward 1861.2903225806451, Reward 2100, Record 7200
Game 94, Game Loss 2.6803128719329834, Mean Loss 17730496.0, Actions 19, Mean reward 1854.2553191489362, Reward 1200, Record 7200
Command main.py play --no-gui --agents train_rule_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario classic --n-rounds 20001
Game 1, Game Loss 280112037888.0, Mean Loss 280112037888.0, Actions 15, Mean reward 200.0, Reward 200, Record 200
Game 2, Game Loss 6.714662551879883, Mean Loss 140056018944.0, Actions 23, Mean reward 800.0, Reward 1400, Record 1400
Game 3, Game Loss 8.3175687789917, Mean Loss 93370679296.0, Actions 23, Mean reward 866.6666666666666, Reward 1000, Record 1400
Game 4, Game Loss 5.949666976928711, Mean Loss 70028009472.0, Actions 8, Mean reward 775.0, Reward 500, Record 1400
Game 5, Game Loss 8.396445274353027, Mean Loss 56022409216.0, Actions 5, Mean reward 660.0, Reward 200, Record 1400
Game 6, Game Loss 7.655144214630127, Mean Loss 46685339648.0, Actions 20, Mean reward 600.0, Reward 300, Record 1400
Game 7, Game Loss 3.612884044647217, Mean Loss 40016007168.0, Actions 35, Mean reward 800.0, Reward 2000, Record 2000
Game 8, Game Loss 4.108847141265869, Mean Loss 35014004736.0, Actions 75, Mean reward 1175.0, Reward 3800, Record 3800
Game 9, Game Loss 4.864014625549316, Mean Loss 31123560448.0, Actions 17, Mean reward 1133.3333333333333, Reward 800, Record 3800
Game 10, Game Loss 4.3078389167785645, Mean Loss 28011204608.0, Actions 6, Mean reward 1050.0, Reward 300, Record 3800
Game 11, Game Loss 3.373555898666382, Mean Loss 25464731648.0, Actions 7, Mean reward 972.7272727272727, Reward 200, Record 3800
Game 12, Game Loss 10.833220481872559, Mean Loss 23342669824.0, Actions 5, Mean reward 891.6666666666666, Reward 0, Record 3800
Game 13, Game Loss 3.337728261947632, Mean Loss 21547079680.0, Actions 34, Mean reward 969.2307692307693, Reward 1900, Record 3800
Game 14, Game Loss 4.1629958152771, Mean Loss 20008003584.0, Actions 17, Mean reward 928.5714285714286, Reward 400, Record 3800
Game 15, Game Loss 3.721118450164795, Mean Loss 18674135040.0, Actions 6, Mean reward 886.6666666666666, Reward 300, Record 3800
Game 16, Game Loss 4.088382720947266, Mean Loss 17507002368.0, Actions 7, Mean reward 831.25, Reward 0, Record 3800
Game 17, Game Loss 6.5680108070373535, Mean Loss 16477178880.0, Actions 6, Mean reward 788.2352941176471, Reward 100, Record 3800
Game 18, Game Loss 2.6007628440856934, Mean Loss 15561780224.0, Actions 9, Mean reward 755.5555555555555, Reward 200, Record 3800
