Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 63, Game Loss 9.011177062988281, Mean Loss 11.572968482971191, Actions 10, Mean reward 357.53968253968253, Final reward 0.0,  Reward -100.0, Record 2228.0
Game 64, Game Loss 3.481379985809326, Mean Loss 11.446537017822266, Actions 19, Mean reward 369.890625, Final reward 0.0,  Reward 1148.0, Record 2228.0
Game 65, Game Loss 3.876430034637451, Mean Loss 11.330073356628418, Actions 19, Mean reward 385.4307692307692, Final reward 0.0,  Reward 1380.0, Record 2228.0
Game 66, Game Loss 6.768636226654053, Mean Loss 11.260960578918457, Actions 11, Mean reward 382.6212121212121, Final reward 0.0,  Reward 200.0, Record 2228.0
Game 67, Game Loss 5.470810413360596, Mean Loss 11.174540519714355, Actions 19, Mean reward 394.04477611940297, Final reward 0.0,  Reward 1148.0, Record 2228.0
Game 68, Game Loss 11.388344764709473, Mean Loss 11.177684783935547, Actions 8, Mean reward 389.72058823529414, Final reward 0.0,  Reward 100.0, Record 2228.0
Game 69, Game Loss 4.163394927978516, Mean Loss 11.076028823852539, Actions 19, Mean reward 397.81159420289856, Final reward 0.0,  Reward 948.0, Record 2228.0
Game 70, Game Loss 3.3537023067474365, Mean Loss 10.965709686279297, Actions 17, Mean reward 400.98571428571427, Final reward 0.0,  Reward 620.0, Record 2228.0
Game 71, Game Loss 6.295803070068359, Mean Loss 10.899935722351074, Actions 17, Mean reward 409.4225352112676, Final reward 0.0,  Reward 1000.0, Record 2228.0
Game 72, Game Loss 5.382173538208008, Mean Loss 10.8233003616333, Actions 13, Mean reward 406.5138888888889, Final reward 0.0,  Reward 200.0, Record 2228.0
Game 73, Game Loss 7.658697128295898, Mean Loss 10.779950141906738, Actions 12, Mean reward 408.06849315068496, Final reward 0.0,  Reward 520.0, Record 2228.0
Game 74, Game Loss 2.4278407096862793, Mean Loss 10.667083740234375, Actions 22, Mean reward 414.9864864864865, Final reward 0.0,  Reward 920.0, Record 2228.0
Game 75, Game Loss 17.7188663482666, Mean Loss 10.761107444763184, Actions 8, Mean reward 410.7866666666667, Final reward 0.0,  Reward 100.0, Record 2228.0
Game 76, Game Loss 21.33715057373047, Mean Loss 10.90026569366455, Actions 5, Mean reward 402.75, Final reward 0.0,  Reward -200.0, Record 2228.0
Game 77, Game Loss 3.750119209289551, Mean Loss 10.80740737915039, Actions 18, Mean reward 414.5584415584416, Final reward 0.0,  Reward 1312.0, Record 2228.0
Game 78, Game Loss 6.010052680969238, Mean Loss 10.745903015136719, Actions 28, Mean reward 432.93589743589746, Final reward 0.0,  Reward 1848.0, Record 2228.0
Game 79, Game Loss 1.2923463582992554, Mean Loss 10.626237869262695, Actions 16, Mean reward 441.63291139240505, Final reward 0.0,  Reward 1120.0, Record 2228.0
Game 80, Game Loss 55.12791442871094, Mean Loss 11.18250846862793, Actions 17, Mean reward 448.6125, Final reward 0.0,  Reward 1000.0, Record 2228.0
Game 81, Game Loss 21.101882934570312, Mean Loss 11.304969787597656, Actions 5, Mean reward 440.60493827160496, Final reward 0.0,  Reward -200.0, Record 2228.0
Game 82, Game Loss 2.6170573234558105, Mean Loss 11.199020385742188, Actions 30, Mean reward 458.4024390243902, Final reward 0.0,  Reward 1900.0, Record 2228.0
Game 83, Game Loss 4.460907459259033, Mean Loss 11.117837905883789, Actions 17, Mean reward 464.9277108433735, Final reward 0.0,  Reward 1000.0, Record 2228.0
Game 84, Game Loss 7.119002819061279, Mean Loss 11.070233345031738, Actions 14, Mean reward 465.3452380952381, Final reward 0.0,  Reward 500.0, Record 2228.0
Game 85, Game Loss 5.867379665374756, Mean Loss 11.00902271270752, Actions 19, Mean reward 468.67058823529413, Final reward 0.0,  Reward 748.0, Record 2228.0
Game 86, Game Loss 10.388951301574707, Mean Loss 11.001812934875488, Actions 11, Mean reward 467.8720930232558, Final reward 0.0,  Reward 400.0, Record 2228.0
Game 87, Game Loss 5.328277587890625, Mean Loss 10.936600685119629, Actions 14, Mean reward 468.4712643678161, Final reward 0.0,  Reward 520.0, Record 2228.0
Game 88, Game Loss 4.166653156280518, Mean Loss 10.859668731689453, Actions 18, Mean reward 477.32954545454544, Final reward 0.0,  Reward 1248.0, Record 2228.0
Game 89, Game Loss 14.050187110900879, Mean Loss 10.895517349243164, Actions 7, Mean reward 471.96629213483146, Final reward 0.0,  Reward 0.0, Record 2228.0
Game 90, Game Loss 20.817035675048828, Mean Loss 11.005756378173828, Actions 5, Mean reward 464.5, Final reward 0.0,  Reward -200.0, Record 2228.0
Game 91, Game Loss 2.13191819190979, Mean Loss 10.908241271972656, Actions 18, Mean reward 470.9120879120879, Final reward 0.0,  Reward 1048.0, Record 2228.0
Game 92, Game Loss 8.484402656555176, Mean Loss 10.881895065307617, Actions 8, Mean reward 466.8804347826087, Final reward 0.0,  Reward 100.0, Record 2228.0
Game 93, Game Loss 18.4016056060791, Mean Loss 10.962752342224121, Actions 5, Mean reward 459.9247311827957, Final reward 0.0,  Reward -180.0, Record 2228.0
Game 94, Game Loss 16.466493606567383, Mean Loss 11.021302223205566, Actions 6, Mean reward 453.968085106383, Final reward 0.0,  Reward -100.0, Record 2228.0
Game 95, Game Loss 2.8101236820220947, Mean Loss 10.934869766235352, Actions 32, Mean reward 468.6421052631579, Final reward 0.0,  Reward 1848.0, Record 2228.0
Game 96, Game Loss 3.9542086124420166, Mean Loss 10.862154960632324, Actions 13, Mean reward 470.0104166666667, Final reward 0.0,  Reward 600.0, Record 2228.0
Game 97, Game Loss 1.712611436843872, Mean Loss 10.767829895019531, Actions 19, Mean reward 475.88659793814435, Final reward 0.0,  Reward 1040.0, Record 2228.0
Game 98, Game Loss 4.239291191101074, Mean Loss 10.701211929321289, Actions 17, Mean reward 482.7448979591837, Final reward 0.0,  Reward 1148.0, Record 2228.0
Game 99, Game Loss 3.7823405265808105, Mean Loss 10.63132381439209, Actions 18, Mean reward 486.4343434343434, Final reward 0.0,  Reward 848.0, Record 2228.0
Game 100, Game Loss 1.8694353103637695, Mean Loss 10.543704986572266, Actions 18, Mean reward 492.05, Final reward 0.0,  Reward 1048.0, Record 2228.0
