Command main.py play --no-gui --agents ruly_train rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 76, Game Loss 10.523722648620605, Mean Loss 9.619040489196777, Actions 24, Mean reward -900.0, Reward -700, Record 400
Game 77, Game Loss 6.780314922332764, Mean Loss 9.582174301147461, Actions 23, Mean reward -909.0909090909091, Reward -1600, Record 400
Game 78, Game Loss 8.000992774963379, Mean Loss 9.561902046203613, Actions 10, Mean reward -903.8461538461538, Reward -500, Record 400
Game 79, Game Loss 21.278669357299805, Mean Loss 9.71021556854248, Actions 5, Mean reward -889.873417721519, Reward 200, Record 400
Game 80, Game Loss 26.220369338989258, Mean Loss 9.916593551635742, Actions 14, Mean reward -870.0, Reward 700, Record 700
Game 81, Game Loss 20.07435417175293, Mean Loss 10.041997909545898, Actions 26, Mean reward -860.4938271604939, Reward -100, Record 700
Game 82, Game Loss 16.306758880615234, Mean Loss 10.118396759033203, Actions 45, Mean reward -867.0731707317074, Reward -1400, Record 700
Game 83, Game Loss 22.190338134765625, Mean Loss 10.263842582702637, Actions 13, Mean reward -854.2168674698795, Reward 200, Record 700
Game 84, Game Loss 7.385016441345215, Mean Loss 10.229570388793945, Actions 26, Mean reward -869.047619047619, Reward -2100, Record 700
Game 85, Game Loss 2.3833534717559814, Mean Loss 10.137262344360352, Actions 9, Mean reward -868.2352941176471, Reward -800, Record 700
Game 86, Game Loss 1.3805032968521118, Mean Loss 10.035439491271973, Actions 5, Mean reward -862.7906976744187, Reward -400, Record 700
Game 87, Game Loss 0.79896080493927, Mean Loss 9.929272651672363, Actions 28, Mean reward -883.9080459770115, Reward -2700, Record 700
Game 88, Game Loss 9.072748184204102, Mean Loss 9.919539451599121, Actions 21, Mean reward -885.2272727272727, Reward -1000, Record 700
Game 89, Game Loss 5.106867790222168, Mean Loss 9.86546516418457, Actions 11, Mean reward -882.0224719101124, Reward -600, Record 700
Game 90, Game Loss 22.653148651123047, Mean Loss 10.007550239562988, Actions 21, Mean reward -867.7777777777778, Reward 400, Record 700
Game 91, Game Loss 7.908260822296143, Mean Loss 9.984480857849121, Actions 10, Mean reward -863.7362637362637, Reward -500, Record 700
Game 92, Game Loss 21.516138076782227, Mean Loss 10.109825134277344, Actions 15, Mean reward -852.1739130434783, Reward 200, Record 700
Game 93, Game Loss 6.0603132247924805, Mean Loss 10.06628131866455, Actions 8, Mean reward -846.236559139785, Reward -300, Record 700
Game 94, Game Loss 10.882386207580566, Mean Loss 10.074963569641113, Actions 6, Mean reward -838.2978723404256, Reward -100, Record 700
Game 95, Game Loss 22.67911720275879, Mean Loss 10.20763874053955, Actions 24, Mean reward -820.0, Reward 900, Record 900
Game 96, Game Loss 9.712969779968262, Mean Loss 10.202486038208008, Actions 6, Mean reward -812.5, Reward -100, Record 900
Game 97, Game Loss 13.844011306762695, Mean Loss 10.24002742767334, Actions 39, Mean reward -818.5567010309278, Reward -1400, Record 900
Game 98, Game Loss 20.712623596191406, Mean Loss 10.346890449523926, Actions 15, Mean reward -806.1224489795918, Reward 400, Record 900
Game 99, Game Loss 8.268280982971191, Mean Loss 10.325895309448242, Actions 11, Mean reward -804.040404040404, Reward -600, Record 900
Game 100, Game Loss 3.9495298862457275, Mean Loss 10.262131690979004, Actions 32, Mean reward -825.0, Reward -2900, Record 900
Game 101, Game Loss 16.409975051879883, Mean Loss 10.323001861572266, Actions 13, Mean reward -816.8316831683169, Reward 0, Record 900
Game 102, Game Loss 7.331858158111572, Mean Loss 10.29367733001709, Actions 24, Mean reward -817.6470588235294, Reward -900, Record 900
Game 103, Game Loss 4.876067161560059, Mean Loss 10.241079330444336, Actions 10, Mean reward -816.504854368932, Reward -700, Record 900
Game 104, Game Loss 6.640063285827637, Mean Loss 10.206453323364258, Actions 20, Mean reward -817.3076923076923, Reward -900, Record 900
Game 105, Game Loss 7.2816481590271, Mean Loss 10.178598403930664, Actions 19, Mean reward -819.047619047619, Reward -1000, Record 900
Game 106, Game Loss 2.502373695373535, Mean Loss 10.106180191040039, Actions 7, Mean reward -815.0943396226415, Reward -400, Record 900
Game 107, Game Loss 5.585140228271484, Mean Loss 10.06392765045166, Actions 19, Mean reward -814.9532710280374, Reward -800, Record 900
Game 108, Game Loss 8.434098243713379, Mean Loss 10.048835754394531, Actions 38, Mean reward -817.5925925925926, Reward -1100, Record 900
Game 109, Game Loss 9.625445365905762, Mean Loss 10.044952392578125, Actions 49, Mean reward -835.7798165137615, Reward -2800, Record 900
Game 110, Game Loss 0.0023093700874596834, Mean Loss 9.953655242919922, Actions 12, Mean reward -838.1818181818181, Reward -1100, Record 900
Game 111, Game Loss 4.432397365570068, Mean Loss 9.903914451599121, Actions 13, Mean reward -839.6396396396397, Reward -1000, Record 900
Game 112, Game Loss 13.01233959197998, Mean Loss 9.931668281555176, Actions 44, Mean reward -843.75, Reward -1300, Record 900
Command main.py play --no-gui --agents ruly_train --train 1 --scenario empty --n-rounds 20001
Game 1, Game Loss 3.30785870552063, Mean Loss 3.30785870552063, Actions 10, Mean reward -500.0, Reward -500, Record -500
Game 2, Game Loss 1.2455118894577026, Mean Loss 2.2766852378845215, Actions 16, Mean reward -800.0, Reward -1100, Record -500
Command main.py play --no-gui --agents ruly_train --train 1 --scenario coin-heaven --n-rounds 20001
