Command main.py play --no-gui --agents simple_net_ppo rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 62, Game Loss -4.207802148313639e+20, Mean Loss -8.278422716837108e+19, Actions 12, Mean reward 435.5034048798537, Final reward 0.0,  Reward 700.0, Record 1848.0
Game 63, Game Loss -4.070738260248106e+20, Mean Loss -8.793167441668814e+19, Actions 13, Mean reward 428.43192226271316, Final reward 0.0,  Reward -10.0, Record 1848.0
Game 64, Game Loss -4.6192795096115996e+20, Mean Loss -9.377536761208504e+19, Actions 31, Mean reward 439.67517347735827, Final reward 0.0,  Reward 1148.0, Record 1848.0
Game 65, Game Loss -5.3002023108030444e+20, Mean Loss -1.0048683056849486e+20, Actions 20, Mean reward 449.834016962322, Final reward 0.0,  Reward 1100.0, Record 1848.0
Game 66, Game Loss -5.5016683772274174e+20, Mean Loss -1.0730016107819486e+20, Actions 23, Mean reward 433.1395621598626, Final reward 0.0,  Reward -652.0, Record 1848.0
Game 67, Game Loss -6.15638198780617e+20, Mean Loss -1.1488729268715153e+20, Actions 12, Mean reward 436.34643436643177, Final reward 0.0,  Reward 648.0, Record 1848.0
Game 68, Game Loss -5.558720892100621e+20, Mean Loss -1.2137236180135576e+20, Actions 7, Mean reward 432.8707515081019, Final reward 0.0,  Reward 200.0, Record 1848.0
Game 69, Game Loss -6.099906848478944e+20, Mean Loss -1.2845378843027964e+20, Actions 31, Mean reward 440.33639279059315, Final reward 0.0,  Reward 948.0, Record 1848.0
Game 70, Game Loss -6.590937834288358e+20, Mean Loss -1.3603436694993476e+20, Actions 26, Mean reward 444.6458728935847, Final reward 0.0,  Reward 742.0, Record 1848.0
Game 71, Game Loss -7.046944185058224e+20, Mean Loss -1.4404364945130625e+20, Actions 42, Mean reward 442.4677620077596, Final reward 0.0,  Reward 290.0, Record 1848.0
Game 72, Game Loss -8.192798556687308e+20, Mean Loss -1.5342194707456118e+20, Actions 13, Mean reward 443.93348753542955, Final reward 0.0,  Reward 548.0, Record 1848.0
Game 73, Game Loss -9.393374478538711e+20, Mean Loss -1.6418790753690662e+20, Actions 45, Mean reward 454.29056304864287, Final reward 0.0,  Reward 1200.0, Record 1848.0
Game 74, Game Loss -9.721859998484697e+20, Mean Loss -1.7510679687253616e+20, Actions 37, Mean reward 455.55690679122876, Final reward 0.0,  Reward 548.0, Record 1848.0
Game 75, Game Loss -1.1606411669493692e+21, Mean Loss -1.882472450540406e+20, Actions 21, Mean reward 465.48281470067906, Final reward 0.0,  Reward 1200.0, Record 1848.0
Game 76, Game Loss -1.2171840713772384e+21, Mean Loss -2.017858923666604e+20, Actions 14, Mean reward 471.2001460861964, Final reward 0.0,  Reward 900.0, Record 1848.0
Game 77, Game Loss -1.198744504915435e+21, Mean Loss -2.1473340704381574e+20, Actions 18, Mean reward 474.17157276040166, Final reward 0.0,  Reward 700.0, Record 1848.0
