Command main.py play --no-gui --agents simple_net_ppo rule_based_agent --train 1 --scenario empty --n-rounds 20001
Command main.py play --no-gui --agents simple_net_ppo rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 58, Game Loss -1.9495495647677645e+18, Mean Loss -3.065779610441482e+17, Actions 5, Mean reward -186.20689655172413, Final reward 0.0,  Reward 0.0, Record 0.0
Game 59, Game Loss -2.1392278275038904e+18, Mean Loss -3.376398173638492e+17, Actions 5, Mean reward -186.4406779661017, Final reward 0.0,  Reward -200.0, Record 0.0
Game 60, Game Loss -2.2976963152466412e+18, Mean Loss -3.7030740733670195e+17, Actions 5, Mean reward -186.66666666666666, Final reward 0.0,  Reward -200.0, Record 0.0
Game 61, Game Loss -2.588544491145134e+18, Mean Loss -4.06671967718998e+17, Actions 5, Mean reward -186.88524590163934, Final reward 0.0,  Reward -200.0, Record 0.0
Game 62, Game Loss -2.727402639250686e+18, Mean Loss -4.441030887399752e+17, Actions 5, Mean reward -187.09677419354838, Final reward 0.0,  Reward -200.0, Record 0.0
Game 63, Game Loss -2.8131920340079084e+18, Mean Loss -4.8170769207997235e+17, Actions 5, Mean reward -187.3015873015873, Final reward 0.0,  Reward -200.0, Record 0.0
Game 64, Game Loss -3.179395926510797e+18, Mean Loss -5.238590852384686e+17, Actions 6, Mean reward -185.9375, Final reward 0.0,  Reward -100.0, Record 0.0
Game 65, Game Loss -3.9272364567240376e+18, Mean Loss -5.762187223063593e+17, Actions 5, Mean reward -186.15384615384616, Final reward 0.0,  Reward -200.0, Record 0.0
Game 66, Game Loss -3.7354068620492145e+18, Mean Loss -6.240852051073434e+17, Actions 6, Mean reward -184.84848484848484, Final reward 0.0,  Reward -100.0, Record 0.0
Game 67, Game Loss -3.8794027531134566e+18, Mean Loss -6.726720054634742e+17, Actions 7, Mean reward -185.07462686567163, Final reward 0.0,  Reward -200.0, Record 0.0
Game 68, Game Loss -4.957293309362962e+18, Mean Loss -7.356811685606195e+17, Actions 5, Mean reward -185.2941176470588, Final reward 0.0,  Reward -200.0, Record 0.0
Game 69, Game Loss -5.610172868575887e+18, Mean Loss -8.06325958876332e+17, Actions 5, Mean reward -185.5072463768116, Final reward 0.0,  Reward -200.0, Record 0.0
Game 70, Game Loss -5.161131220280541e+18, Mean Loss -8.685374950070026e+17, Actions 6, Mean reward -184.28571428571428, Final reward 0.0,  Reward -100.0, Record 0.0
Game 71, Game Loss -6.526740055141122e+18, Mean Loss -9.482304413855908e+17, Actions 5, Mean reward -184.50704225352112, Final reward 0.0,  Reward -200.0, Record 0.0
Game 72, Game Loss -6.885907622982058e+18, Mean Loss -1.0306982115153019e+18, Actions 5, Mean reward -184.72222222222223, Final reward 0.0,  Reward -200.0, Record 0.0
Game 73, Game Loss -7.566819231145132e+18, Mean Loss -1.1202341234246943e+18, Actions 5, Mean reward -184.93150684931507, Final reward 0.0,  Reward -200.0, Record 0.0
Game 74, Game Loss -8.22278731852048e+18, Mean Loss -1.2162146165818655e+18, Actions 5, Mean reward -185.13513513513513, Final reward 0.0,  Reward -200.0, Record 0.0
Game 75, Game Loss -8.529574702169981e+18, Mean Loss -1.3137260422417613e+18, Actions 5, Mean reward -185.33333333333334, Final reward 0.0,  Reward -200.0, Record 0.0
Game 76, Game Loss -9.521070307633267e+18, Mean Loss -1.4217173255428506e+18, Actions 5, Mean reward -185.52631578947367, Final reward 0.0,  Reward -200.0, Record 0.0
Game 77, Game Loss -1.0047414220431032e+19, Mean Loss -1.5337394184713667e+18, Actions 5, Mean reward -185.71428571428572, Final reward 0.0,  Reward -200.0, Record 0.0
Game 78, Game Loss -8.487900462698201e+18, Mean Loss -1.6228953803938857e+18, Actions 10, Mean reward -187.17948717948718, Final reward 0.0,  Reward -300.0, Record 0.0
Game 79, Game Loss -1.1675655701237072e+19, Mean Loss -1.7501454344891924e+18, Actions 5, Mean reward -187.34177215189874, Final reward 0.0,  Reward -200.0, Record 0.0
Game 80, Game Loss -1.0868080903310017e+19, Mean Loss -1.8641197103128248e+18, Actions 5, Mean reward -187.5, Final reward 0.0,  Reward -200.0, Record 0.0
Game 81, Game Loss -1.1993389272896897e+19, Mean Loss -1.9891723904200212e+18, Actions 5, Mean reward -187.65432098765433, Final reward 0.0,  Reward -200.0, Record 0.0
Game 82, Game Loss -1.2121771549090906e+19, Mean Loss -2.11274072982972e+18, Actions 6, Mean reward -186.58536585365854, Final reward 0.0,  Reward -100.0, Record 0.0
Game 83, Game Loss -1.3568020765755834e+19, Mean Loss -2.2507561022725816e+18, Actions 5, Mean reward -186.74698795180723, Final reward 0.0,  Reward -200.0, Record 0.0
Game 84, Game Loss -1.6171050772841103e+19, Mean Loss -2.4164739450551665e+18, Actions 5, Mean reward -186.9047619047619, Final reward 0.0,  Reward -200.0, Record 0.0
Game 85, Game Loss -1.65752961183976e+19, Mean Loss -2.583048307395789e+18, Actions 5, Mean reward -187.05882352941177, Final reward 0.0,  Reward -200.0, Record 0.0
Game 86, Game Loss -1.523031742020898e+19, Mean Loss -2.7301093620003635e+18, Actions 5, Mean reward -187.2093023255814, Final reward 0.0,  Reward -200.0, Record 0.0
Game 87, Game Loss -1.9464625759216206e+19, Mean Loss -2.9224601251867525e+18, Actions 5, Mean reward -187.35632183908046, Final reward 0.0,  Reward -200.0, Record 0.0
Game 88, Game Loss -2.0438639129797853e+19, Mean Loss -3.121507738820018e+18, Actions 5, Mean reward -187.5, Final reward 0.0,  Reward -200.0, Record 0.0
Game 89, Game Loss -1.928142513179617e+19, Mean Loss -3.303079714641412e+18, Actions 5, Mean reward -185.3932584269663, Final reward 0.0,  Reward 0.0, Record 0.0
Game 90, Game Loss -2.097235966610637e+19, Mean Loss -3.4994052123622113e+18, Actions 6, Mean reward -186.66666666666666, Final reward 0.0,  Reward -300.0, Record 0.0
Game 91, Game Loss -2.4415731017138045e+19, Mean Loss -3.729255094491808e+18, Actions 5, Mean reward -186.8131868131868, Final reward 0.0,  Reward -200.0, Record 0.0
Game 92, Game Loss -2.5498789552916005e+19, Mean Loss -3.965880442149667e+18, Actions 5, Mean reward -186.95652173913044, Final reward 0.0,  Reward -200.0, Record 0.0
Game 93, Game Loss -2.71645320768106e+19, Mean Loss -4.2153280195327427e+18, Actions 5, Mean reward -187.09677419354838, Final reward 0.0,  Reward -200.0, Record 0.0
Game 94, Game Loss -2.41750171354923e+19, Mean Loss -4.427664880455123e+18, Actions 6, Mean reward -188.29787234042553, Final reward 0.0,  Reward -300.0, Record 0.0
Game 95, Game Loss -3.017186570356864e+19, Mean Loss -4.698656838428656e+18, Actions 5, Mean reward -188.42105263157896, Final reward 0.0,  Reward -200.0, Record 0.0
Game 96, Game Loss -3.0337223456293126e+19, Mean Loss -4.965724914280563e+18, Actions 5, Mean reward -188.54166666666666, Final reward 0.0,  Reward -200.0, Record 0.0
Game 97, Game Loss -2.96948931613929e+19, Mean Loss -5.2206653768781e+18, Actions 5, Mean reward -188.659793814433, Final reward 0.0,  Reward -200.0, Record 0.0
Game 98, Game Loss -3.2551079123703824e+19, Mean Loss -5.499546605658833e+18, Actions 6, Mean reward -187.75510204081633, Final reward 0.0,  Reward -100.0, Record 0.0
