Command main.py play --no-gui --agents brand_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 13, Game Loss 1.5257213115692139, Mean Loss 17.157337188720703, Actions 5, Mean reward 2335.5046091531244, Final reward 0.0,  Reward 400.0, Record 7796.452380952381
Game 14, Game Loss 2.6286277770996094, Mean Loss 16.119571685791016, Actions 6, Mean reward 2211.2780894517105, Final reward 0.5,  Reward 596.3333333333333, Record 7796.452380952381
Game 15, Game Loss 1.7693325281143188, Mean Loss 15.16288948059082, Actions 10, Mean reward 2131.154788250168, Final reward 1.0,  Reward 1009.4285714285714, Record 7796.452380952381
Game 16, Game Loss 1.7188447713851929, Mean Loss 14.322636604309082, Actions 9, Mean reward 2049.2076139845326, Final reward 0.0,  Reward 820.0, Record 7796.452380952381
Game 17, Game Loss 3.7437450885772705, Mean Loss 13.700348854064941, Actions 8, Mean reward 1980.116970024658, Final reward 1.0,  Reward 874.6666666666667, Record 7796.452380952381
Game 18, Game Loss 1.423674464225769, Mean Loss 13.018311500549316, Actions 10, Mean reward 1921.2215828010658, Final reward 0.0,  Reward 920.0, Record 7796.452380952381
Game 19, Game Loss 3.1630561351776123, Mean Loss 12.499613761901855, Actions 5, Mean reward 1842.3414994957466, Final reward 0.5,  Reward 422.5, Record 7796.452380952381
Game 20, Game Loss 2.5771427154541016, Mean Loss 12.003490447998047, Actions 11, Mean reward 1809.4410911876262, Final reward 1.0,  Reward 1184.3333333333335, Record 7796.452380952381
Game 21, Game Loss 4.030066967010498, Mean Loss 11.62380313873291, Actions 9, Mean reward 1768.394061282969, Final reward 0.5,  Reward 947.4534631898291, Record 7796.452380952381
Game 22, Game Loss 1.1303483247756958, Mean Loss 11.146828651428223, Actions 18, Mean reward 1770.0283860587072, Final reward 1.0,  Reward 1804.3492063492063, Record 7796.452380952381
Game 23, Game Loss 3.573166847229004, Mean Loss 10.817538261413574, Actions 53, Mean reward 1926.041644635865, Final reward 1.0,  Reward 5358.333333333334, Record 7796.452380952381
