Command main.py play --no-gui --agents simple_net_q rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_q rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_q rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 57, Game Loss 1.212072730064392, Mean Loss 105941192.0, Actions 5, Mean reward 1182.1245817244555, Final reward 0.0,  Reward 140.0, Record 6197.451612903225
Game 58, Game Loss 1.1397161483764648, Mean Loss 104114616.0, Actions 8, Mean reward 1161.3982958326546, Final reward 0.0,  Reward -20.0, Record 6197.451612903225
Game 59, Game Loss 0.8297936916351318, Mean Loss 102349960.0, Actions 28, Mean reward 1173.2908480135086, Final reward 0.5,  Reward 1863.0588745030454, Record 6197.451612903225
Game 60, Game Loss 0.9637234807014465, Mean Loss 100644128.0, Actions 16, Mean reward 1186.0082400222834, Final reward 1.0,  Reward 1936.334368540005, Record 6197.451612903225
Game 61, Game Loss 1.1643682718276978, Mean Loss 98994224.0, Actions 26, Mean reward 1206.482651963247, Final reward 1.0,  Reward 2434.947368421052, Record 6197.451612903225
Game 62, Game Loss 1.0412434339523315, Mean Loss 97397544.0, Actions 9, Mean reward 1188.9587382219042, Final reward 0.0,  Reward 120.0, Record 6197.451612903225
Game 63, Game Loss 0.9282367825508118, Mean Loss 95851552.0, Actions 32, Mean reward 1196.6763243876942, Final reward 0.5,  Reward 1675.1666666666663, Record 6197.451612903225
Game 64, Game Loss 0.9953032732009888, Mean Loss 94353872.0, Actions 13, Mean reward 1182.6657568191365, Final reward 0.0,  Reward 300.0, Record 6197.451612903225
Game 65, Game Loss 0.922476589679718, Mean Loss 92902272.0, Actions 35, Mean reward 1182.9324374834575, Final reward 0.0,  Reward 1200.0, Record 6197.451612903225
Game 66, Game Loss 0.9978406429290771, Mean Loss 91494664.0, Actions 18, Mean reward 1180.3793486038378, Final reward 0.5,  Reward 1014.4285714285713, Record 6197.451612903225
Game 67, Game Loss 1.1017836332321167, Mean Loss 90129072.0, Actions 5, Mean reward 1167.9731891719398, Final reward 0.5,  Reward 349.16666666666663, Record 6197.451612903225
Game 68, Game Loss 1.0911870002746582, Mean Loss 88803648.0, Actions 5, Mean reward 1146.0912305076467, Final reward 0.0,  Reward -320.0, Record 6197.451612903225
Game 69, Game Loss 0.9923809170722961, Mean Loss 87516632.0, Actions 18, Mean reward 1145.4232416597097, Final reward 0.0,  Reward 1100.0, Record 6197.451612903225
Game 70, Game Loss 1.0363924503326416, Mean Loss 86266400.0, Actions 8, Mean reward 1134.4148143979044, Final reward 0.5,  Reward 374.83333333333326, Record 6197.451612903225
Game 71, Game Loss 0.9439389705657959, Mean Loss 85051376.0, Actions 37, Mean reward 1163.3486097685577, Final reward 1.0,  Reward 3188.714285714286, Record 6197.451612903225
Game 72, Game Loss 0.8361043334007263, Mean Loss 83870112.0, Actions 18, Mean reward 1153.0243235217722, Final reward 0.5,  Reward 420.0, Record 6197.451612903225
Game 73, Game Loss 0.9441959261894226, Mean Loss 82721200.0, Actions 10, Mean reward 1143.5102916927067, Final reward 0.5,  Reward 458.5, Record 6197.451612903225
Game 74, Game Loss 0.8818984627723694, Mean Loss 81603352.0, Actions 14, Mean reward 1137.516909372535, Final reward 0.0,  Reward 700.0, Record 6197.451612903225
Game 75, Game Loss 0.6910485029220581, Mean Loss 80515304.0, Actions 15, Mean reward 1130.950017247568, Final reward 1.0,  Reward 645.0, Record 6197.451612903225
Game 76, Game Loss 0.7919020652770996, Mean Loss 79455896.0, Actions 5, Mean reward 1121.0296222837842, Final reward 0.5,  Reward 377.0, Record 6197.451612903225
Game 77, Game Loss 0.9593508243560791, Mean Loss 78424000.0, Actions 5, Mean reward 1116.2435232930857, Final reward 1.5,  Reward 752.5, Record 6197.451612903225
Game 78, Game Loss 1.0731505155563354, Mean Loss 77418560.0, Actions 6, Mean reward 1115.8814268406102, Final reward 1.0,  Reward 1088.0, Record 6197.451612903225
Game 79, Game Loss 1.748246192932129, Mean Loss 76438576.0, Actions 21, Mean reward 1109.857611310982, Final reward 0.0,  Reward 640.0, Record 6197.451612903225
Game 80, Game Loss 1.1760069131851196, Mean Loss 75483096.0, Actions 7, Mean reward 1097.1406411695948, Final reward 0.5,  Reward 92.5, Record 6197.451612903225
Game 81, Game Loss 1.5393530130386353, Mean Loss 74551208.0, Actions 20, Mean reward 1099.2808801675012, Final reward 0.5,  Reward 1270.5, Record 6197.451612903225
Game 82, Game Loss 1.4084298610687256, Mean Loss 73642048.0, Actions 13, Mean reward 1076.1189182142389, Final reward 0.0,  Reward -800.0, Record 6197.451612903225
Game 83, Game Loss 1.2922556400299072, Mean Loss 72754792.0, Actions 27, Mean reward 1086.9367625731036, Final reward 0.5,  Reward 1974.0, Record 6197.451612903225
Game 84, Game Loss 1.359375, Mean Loss 71888664.0, Actions 5, Mean reward 1080.1637058758047, Final reward 1.0,  Reward 518.0, Record 6197.451612903225
Game 85, Game Loss 1.1680777072906494, Mean Loss 71042912.0, Actions 9, Mean reward 1076.844132865501, Final reward 1.0,  Reward 798.0, Record 6197.451612903225
Game 86, Game Loss 1.4681298732757568, Mean Loss 70216832.0, Actions 26, Mean reward 1083.5318427099394, Final reward 1.5,  Reward 1651.9871794871797, Record 6197.451612903225
Game 87, Game Loss 1.3227522373199463, Mean Loss 69409744.0, Actions 23, Mean reward 1093.0429709546527, Final reward 0.5,  Reward 1911.0, Record 6197.451612903225
Game 88, Game Loss 1.3378125429153442, Mean Loss 68621000.0, Actions 11, Mean reward 1079.2583917392587, Final reward 0.0,  Reward -120.0, Record 6197.451612903225
Game 89, Game Loss 1.3474198579788208, Mean Loss 67849976.0, Actions 6, Mean reward 1073.3004322815143, Final reward 1.0,  Reward 549.0, Record 6197.451612903225
Game 90, Game Loss 1.0784989595413208, Mean Loss 67096088.0, Actions 19, Mean reward 1092.3240782720372, Final reward 2.0,  Reward 2785.4285714285716, Record 6197.451612903225
Game 91, Game Loss 1.1575193405151367, Mean Loss 66358768.0, Actions 5, Mean reward 1078.6501873020147, Final reward 0.5,  Reward -152.0, Record 6197.451612903225
Game 92, Game Loss 1.139051914215088, Mean Loss 65637476.0, Actions 13, Mean reward 1058.8822504835146, Final reward 0.0,  Reward -740.0, Record 6197.451612903225
Game 93, Game Loss 1.0929882526397705, Mean Loss 64931696.0, Actions 6, Mean reward 1046.4211510159498, Final reward 0.0,  Reward -100.0, Record 6197.451612903225
Game 94, Game Loss 1.043050765991211, Mean Loss 64240936.0, Actions 12, Mean reward 1054.9490691386043, Final reward 2.5,  Reward 1848.0454545454547, Record 6197.451612903225
Game 95, Game Loss 1.0598403215408325, Mean Loss 63564712.0, Actions 8, Mean reward 1047.9496052529348, Final reward 1.0,  Reward 390.0, Record 6197.451612903225
Game 96, Game Loss 1.0572658777236938, Mean Loss 62902580.0, Actions 22, Mean reward 1056.2670944839308, Final reward 0.5,  Reward 1846.4285714285716, Record 6197.451612903225
Game 97, Game Loss 1.0418522357940674, Mean Loss 62254100.0, Actions 41, Mean reward 1088.406920740558, Final reward 1.5,  Reward 4173.830241376761, Record 6197.451612903225
Game 98, Game Loss 1.451400637626648, Mean Loss 61618856.0, Actions 69, Mean reward 1086.7663361373855, Final reward 1.0,  Reward 927.6296296296296, Record 6197.451612903225
Game 99, Game Loss 1.029719352722168, Mean Loss 60996444.0, Actions 23, Mean reward 1092.879807489533, Final reward 0.5,  Reward 1692.0, Record 6197.451612903225
Game 100, Game Loss 0.9433994293212891, Mean Loss 60386480.0, Actions 24, Mean reward 1108.4276760813043, Final reward 1.0,  Reward 2647.666666666667, Record 6197.451612903225
Game 101, Game Loss 1.4147756099700928, Mean Loss 59788592.0, Actions 11, Mean reward 1104.5125505755489, Final reward 0.5,  Reward 713.0, Record 6197.451612903225
Game 102, Game Loss 1.1317710876464844, Mean Loss 59202428.0, Actions 27, Mean reward 1116.7271800983842, Final reward 1.5,  Reward 2350.404761904762, Record 6197.451612903225
Game 103, Game Loss 1.246260643005371, Mean Loss 58627648.0, Actions 29, Mean reward 1124.7977900003418, Final reward 1.0,  Reward 1948.0, Record 6197.451612903225
