Command main.py play --no-gui --agents train_rule_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Command main.py play --no-gui --agents train_rule_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 101, Game Loss 0.1875786930322647, Mean Loss 4.84541654586792, Actions 72, Mean reward 145.54455445544554, Reward -700, Record 2200
Game 102, Game Loss 0.5019270181655884, Mean Loss 4.802833557128906, Actions 10, Mean reward 150.98039215686273, Reward 700, Record 2200
Game 103, Game Loss 0.056392185389995575, Mean Loss 4.756751537322998, Actions 7, Mean reward 155.3398058252427, Reward 600, Record 2200
Game 104, Game Loss 1.3065106868743896, Mean Loss 4.723576068878174, Actions 7, Mean reward 153.84615384615384, Reward 0, Record 2200
Game 105, Game Loss 0.2772980034351349, Mean Loss 4.6812310218811035, Actions 19, Mean reward 161.9047619047619, Reward 1000, Record 2200
Game 106, Game Loss 0.713007390499115, Mean Loss 4.643795013427734, Actions 45, Mean reward 171.69811320754718, Reward 1200, Record 2200
Game 107, Game Loss 0.06955414265394211, Mean Loss 4.601044654846191, Actions 32, Mean reward 184.11214953271028, Reward 1500, Record 2200
Game 108, Game Loss 0.11430489271879196, Mean Loss 4.5595011711120605, Actions 21, Mean reward 193.5185185185185, Reward 1200, Record 2200
Game 109, Game Loss 0.21943975985050201, Mean Loss 4.519684314727783, Actions 38, Mean reward 207.3394495412844, Reward 1700, Record 2200
Game 110, Game Loss 1.5096821784973145, Mean Loss 4.492320537567139, Actions 25, Mean reward 220.0, Reward 1600, Record 2200
Game 111, Game Loss 0.05905701592564583, Mean Loss 4.452381134033203, Actions 15, Mean reward 219.81981981981983, Reward 200, Record 2200
Game 112, Game Loss 2.0892391204833984, Mean Loss 4.431281566619873, Actions 22, Mean reward 225.89285714285714, Reward 900, Record 2200
Game 113, Game Loss 0.10202226042747498, Mean Loss 4.392969608306885, Actions 38, Mean reward 244.24778761061947, Reward 2300, Record 2300
Game 114, Game Loss 0.5801103115081787, Mean Loss 4.359523296356201, Actions 7, Mean reward 245.6140350877193, Reward 400, Record 2300
Game 115, Game Loss 0.19134284555912018, Mean Loss 4.323278427124023, Actions 9, Mean reward 248.69565217391303, Reward 600, Record 2300
Game 116, Game Loss 0.22122503817081451, Mean Loss 4.2879157066345215, Actions 64, Mean reward 268.1034482758621, Reward 2500, Record 2500
Game 117, Game Loss 0.48856809735298157, Mean Loss 4.2554426193237305, Actions 42, Mean reward 278.63247863247864, Reward 1500, Record 2500
Game 118, Game Loss 0.4396373927593231, Mean Loss 4.223105430603027, Actions 6, Mean reward 277.1186440677966, Reward 100, Record 2500
