Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 93, Game Loss 2.655963897705078, Mean Loss 1.5371053218841553, Actions 8, Mean reward 860.9765518227277, Final reward 1.0,  Reward 251.66666666666663, Record 4833.060440136944
Game 94, Game Loss 1.3728493452072144, Mean Loss 1.5353578329086304, Actions 25, Mean reward 860.9661629735498, Final reward 0.0,  Reward 860.0, Record 4833.060440136944
Game 95, Game Loss 1.5297887325286865, Mean Loss 1.5352991819381714, Actions 12, Mean reward 855.5244138896177, Final reward 0.5,  Reward 344.0, Record 4833.060440136944
Game 96, Game Loss 1.7282512187957764, Mean Loss 1.537309169769287, Actions 19, Mean reward 858.3106179116008, Final reward 1.0,  Reward 1123.0000000000002, Record 4833.060440136944
Game 97, Game Loss 5.044297695159912, Mean Loss 1.5734636783599854, Actions 7, Mean reward 850.1012300980792, Final reward 0.5,  Reward 62.0, Record 4833.060440136944
Game 98, Game Loss 0.9936889410018921, Mean Loss 1.5675475597381592, Actions 27, Mean reward 857.4414154433988, Final reward 1.5,  Reward 1569.439393939394, Record 4833.060440136944
Game 99, Game Loss 2.198533773422241, Mean Loss 1.5739210844039917, Actions 20, Mean reward 861.1077826076663, Final reward 1.0,  Reward 1220.4117647058827, Record 4833.060440136944
Game 100, Game Loss 0.6247459650039673, Mean Loss 1.5644292831420898, Actions 13, Mean reward 863.750038114923, Final reward 1.0,  Reward 1125.3333333333333, Record 4833.060440136944
Game 101, Game Loss 1.1324716806411743, Mean Loss 1.560152530670166, Actions 31, Mean reward 870.6397806592081, Final reward 2.0,  Reward 1559.614035087719, Record 4833.060440136944
Game 102, Game Loss 0.5678739547729492, Mean Loss 1.550424337387085, Actions 38, Mean reward 889.484822562883, Final reward 2.5,  Reward 2792.8340548340548, Record 4833.060440136944
Game 103, Game Loss 0.7410086989402771, Mean Loss 1.542565941810608, Actions 29, Mean reward 897.357138201431, Final reward 1.5,  Reward 1700.3333333333335, Record 4833.060440136944
Game 104, Game Loss 0.45468342304229736, Mean Loss 1.532105565071106, Actions 14, Mean reward 903.8314972205565, Final reward 3.5,  Reward 1570.6904761904761, Record 4833.060440136944
Game 105, Game Loss 0.9065911769866943, Mean Loss 1.5261482000350952, Actions 13, Mean reward 900.4521496279797, Final reward 1.0,  Reward 549.0, Record 4833.060440136944
Game 106, Game Loss 2.1259524822235107, Mean Loss 1.5318067073822021, Actions 9, Mean reward 888.6381356377786, Final reward 0.5,  Reward -351.83333333333337, Record 4833.060440136944
Game 107, Game Loss 1.8920130729675293, Mean Loss 1.5351730585098267, Actions 6, Mean reward 887.6820159900735, Final reward 1.0,  Reward 786.3333333333334, Record 4833.060440136944
Game 108, Game Loss 1.4318828582763672, Mean Loss 1.5342167615890503, Actions 21, Mean reward 899.2393032858351, Final reward 3.0,  Reward 2135.8690439323227, Record 4833.060440136944
Game 109, Game Loss 1.5505729913711548, Mean Loss 1.5343667268753052, Actions 7, Mean reward 889.1545390355063, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 110, Game Loss 0.930133044719696, Mean Loss 1.5288736820220947, Actions 13, Mean reward 885.7076795897291, Final reward 1.5,  Reward 510.0, Record 4833.060440136944
Game 111, Game Loss 1.1289284229278564, Mean Loss 1.5252704620361328, Actions 13, Mean reward 884.2696906663163, Final reward 1.0,  Reward 726.090909090909, Record 4833.060440136944
Game 112, Game Loss 1.254726529121399, Mean Loss 1.5228549242019653, Actions 5, Mean reward 874.776211285367, Final reward 0.5,  Reward -179.0, Record 4833.060440136944
Game 113, Game Loss 0.9124720692634583, Mean Loss 1.5174533128738403, Actions 25, Mean reward 879.0967757872664, Final reward 3.0,  Reward 1363.0, Record 4833.060440136944
Game 114, Game Loss 1.7713205814361572, Mean Loss 1.5196802616119385, Actions 22, Mean reward 876.2011900347466, Final reward 1.0,  Reward 549.0, Record 4833.060440136944
Game 115, Game Loss 1.7917742729187012, Mean Loss 1.5220463275909424, Actions 23, Mean reward 865.4596890033885, Final reward 1.5,  Reward -359.07142857142856, Record 4833.060440136944
Game 116, Game Loss 1.5356776714324951, Mean Loss 1.52216374874115, Actions 11, Mean reward 859.9255537533593, Final reward 0.5,  Reward 223.5, Record 4833.060440136944
Game 117, Game Loss 0.519561231136322, Mean Loss 1.5135945081710815, Actions 62, Mean reward 888.9180873672312, Final reward 1.5,  Reward 4252.051986576376, Record 4833.060440136944
Game 118, Game Loss 0.8078862428665161, Mean Loss 1.507614016532898, Actions 29, Mean reward 889.8594595081869, Final reward 0.0,  Reward 1000.0, Record 4833.060440136944
Game 119, Game Loss 1.8363186120986938, Mean Loss 1.510376214981079, Actions 5, Mean reward 880.7009766551769, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 120, Game Loss 0.9042376279830933, Mean Loss 1.5053250789642334, Actions 5, Mean reward 871.6951351830504, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 121, Game Loss 0.7907882332801819, Mean Loss 1.4994198083877563, Actions 7, Mean reward 864.4910431567442, Final reward 0.0,  Reward 0.0, Record 4833.060440136944
Game 122, Game Loss 2.0024328231811523, Mean Loss 1.5035427808761597, Actions 7, Mean reward 859.3927559177545, Final reward 0.5,  Reward 242.5, Record 4833.060440136944
Game 123, Game Loss 2.6784791946411133, Mean Loss 1.5130951404571533, Actions 9, Mean reward 851.0670695552795, Final reward 0.5,  Reward -164.66666666666666, Record 4833.060440136944
Game 124, Game Loss 0.2847979664802551, Mean Loss 1.5031895637512207, Actions 28, Mean reward 861.305493018119, Final reward 1.0,  Reward 2120.6315789473683, Record 4833.060440136944
Game 125, Game Loss 35.68098068237305, Mean Loss 1.7766119241714478, Actions 8, Mean reward 852.999049073974, Final reward 1.0,  Reward -177.0, Record 4833.060440136944
Game 126, Game Loss 4.359007358551025, Mean Loss 1.7971071004867554, Actions 8, Mean reward 843.8482629702123, Final reward 0.0,  Reward -300.0, Record 4833.060440136944
Game 127, Game Loss 2.258986234664917, Mean Loss 1.8007440567016602, Actions 7, Mean reward 837.6919774350138, Final reward 0.5,  Reward 62.0, Record 4833.060440136944
Game 128, Game Loss 1.406759262084961, Mean Loss 1.7976659536361694, Actions 5, Mean reward 829.7412588613028, Final reward 0.0,  Reward -180.0, Record 4833.060440136944
Game 129, Game Loss 1.708741307258606, Mean Loss 1.7969765663146973, Actions 14, Mean reward 819.6694366257592, Final reward 1.5,  Reward -469.5238095238095, Record 4833.060440136944
Game 130, Game Loss 2.3919739723205566, Mean Loss 1.80155348777771, Actions 9, Mean reward 809.1082431572095, Final reward 0.5,  Reward -553.2857142857142, Record 4833.060440136944
Game 131, Game Loss 1.9463516473770142, Mean Loss 1.8026587963104248, Actions 5, Mean reward 801.8707756521926, Final reward 0.5,  Reward -139.0, Record 4833.060440136944
Game 132, Game Loss 1.3527694940567017, Mean Loss 1.7992504835128784, Actions 6, Mean reward 793.8263000790699, Final reward 0.0,  Reward -260.0, Record 4833.060440136944
Game 133, Game Loss 2.2201950550079346, Mean Loss 1.8024154901504517, Actions 12, Mean reward 790.4140722589265, Final reward 0.0,  Reward 340.0, Record 4833.060440136944
Game 134, Game Loss 2.1680104732513428, Mean Loss 1.80514395236969, Actions 7, Mean reward 783.0229224659495, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 135, Game Loss 8.732099533081055, Mean Loss 1.8564547300338745, Actions 9, Mean reward 774.715345262498, Final reward 0.5,  Reward -338.5, Record 4833.060440136944
Game 136, Game Loss 2.289078712463379, Mean Loss 1.8596357107162476, Actions 5, Mean reward 767.695379488509, Final reward 0.0,  Reward -180.0, Record 4833.060440136944
Game 137, Game Loss 1.7074109315872192, Mean Loss 1.8585246801376343, Actions 5, Mean reward 764.0041723389578, Final reward 0.5,  Reward 262.0, Record 4833.060440136944
Game 138, Game Loss 13.458919525146484, Mean Loss 1.9425853490829468, Actions 10, Mean reward 756.2939971770813, Final reward 0.0,  Reward -300.0, Record 4833.060440136944
Game 139, Game Loss 1.5143128633499146, Mean Loss 1.9395042657852173, Actions 5, Mean reward 749.5652633844405, Final reward 0.5,  Reward -179.0, Record 4833.060440136944
Game 140, Game Loss 3.569976806640625, Mean Loss 1.9511505365371704, Actions 5, Mean reward 743.1707495983611, Final reward 0.5,  Reward -145.66666666666669, Record 4833.060440136944
Game 141, Game Loss 4.826070785522461, Mean Loss 1.971540093421936, Actions 9, Mean reward 735.0631556295784, Final reward 0.0,  Reward -400.0, Record 4833.060440136944
Game 142, Game Loss 0.6514577865600586, Mean Loss 1.9622437953948975, Actions 5, Mean reward 728.47820382937, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 143, Game Loss 0.9395342469215393, Mean Loss 1.955091953277588, Actions 14, Mean reward 732.198000242515, Final reward 1.5,  Reward 1260.409090909091, Record 4833.060440136944
Game 144, Game Loss 1.2589600086212158, Mean Loss 1.9502577781677246, Actions 8, Mean reward 728.1306530186087, Final reward 0.5,  Reward 146.5, Record 4833.060440136944
Game 145, Game Loss 0.9065406322479248, Mean Loss 1.9430599212646484, Actions 10, Mean reward 723.0056140322733, Final reward 1.0,  Reward -15.0, Record 4833.060440136944
Game 146, Game Loss 0.5995867252349854, Mean Loss 1.9338579177856445, Actions 6, Mean reward 717.762424895066, Final reward 0.5,  Reward -42.5, Record 4833.060440136944
Game 147, Game Loss 0.9814704656600952, Mean Loss 1.9273791313171387, Actions 11, Mean reward 717.5021362903377, Final reward 0.5,  Reward 679.5, Record 4833.060440136944
Game 148, Game Loss 1.6983187198638916, Mean Loss 1.9258315563201904, Actions 11, Mean reward 717.9852299640517, Final reward 1.0,  Reward 789.0, Record 4833.060440136944
Game 149, Game Loss 1.9023832082748413, Mean Loss 1.9256740808486938, Actions 18, Mean reward 718.3108324475144, Final reward 0.5,  Reward 766.5, Record 4833.060440136944
Game 150, Game Loss 1.1035749912261963, Mean Loss 1.9201934337615967, Actions 21, Mean reward 719.0237963062336, Final reward 2.0,  Reward 825.2554112554112, Record 4833.060440136944
