Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 65, Game Loss 11.756766319274902, Mean Loss 7.269257068634033, Actions 25, Mean reward 646.0342967526442, Final reward 0.0,  Reward 1000.0, Record 2148.0
Game 66, Game Loss 10.980021476745605, Mean Loss 7.3254804611206055, Actions 13, Mean reward 636.5489286200284, Final reward 0.0,  Reward 20.0, Record 2148.0
Game 67, Game Loss 9.10173511505127, Mean Loss 7.351992130279541, Actions 17, Mean reward 636.0034222227146, Final reward 0.0,  Reward 600.0, Record 2148.0
Game 68, Game Loss 4.331145286560059, Mean Loss 7.307567596435547, Actions 40, Mean reward 662.6504307194393, Final reward 0.0,  Reward 2448.0, Record 2448.0
Game 69, Game Loss 12.694830894470215, Mean Loss 7.38564395904541, Actions 8, Mean reward 648.6989752017663, Final reward 0.0,  Reward -300.0, Record 2448.0
Game 70, Game Loss 11.44892406463623, Mean Loss 7.443690776824951, Actions 8, Mean reward 635.1461326988839, Final reward 0.0,  Reward -300.0, Record 2448.0
Game 71, Game Loss 2.600560426712036, Mean Loss 7.3754777908325195, Actions 29, Mean reward 650.8201308298856, Final reward 0.0,  Reward 1748.0, Record 2448.0
Game 72, Game Loss 2.9067647457122803, Mean Loss 7.313412189483643, Actions 17, Mean reward 654.9476290128038, Final reward 0.0,  Reward 948.0, Record 2448.0
Game 73, Game Loss 4.6836771965026855, Mean Loss 7.277388095855713, Actions 10, Mean reward 647.8935519030393, Final reward 0.0,  Reward 140.0, Record 2448.0
Game 74, Game Loss 2.6429033279418945, Mean Loss 7.214759826660156, Actions 18, Mean reward 649.8949903908361, Final reward 0.0,  Reward 796.0, Record 2448.0
Game 75, Game Loss 4.459288597106934, Mean Loss 7.178020000457764, Actions 14, Mean reward 647.8963905189584, Final reward 0.0,  Reward 500.0, Record 2448.0
Game 76, Game Loss 5.3652544021606445, Mean Loss 7.154167652130127, Actions 18, Mean reward 653.1609116963405, Final reward 0.0,  Reward 1048.0, Record 2448.0
Game 77, Game Loss 0.8007557392120361, Mean Loss 7.071656227111816, Actions 32, Mean reward 676.4705102457386, Final reward 0.0,  Reward 2448.0, Record 2448.0
Game 78, Game Loss 6.747738838195801, Mean Loss 7.067503452301025, Actions 11, Mean reward 670.3619139605369, Final reward 0.0,  Reward 200.0, Record 2448.0
Game 79, Game Loss 8.136527061462402, Mean Loss 7.081035137176514, Actions 21, Mean reward 672.0029023914161, Final reward 0.0,  Reward 800.0, Record 2448.0
Game 80, Game Loss 7.644854545593262, Mean Loss 7.088082790374756, Actions 8, Mean reward 662.6028661115234, Final reward 0.0,  Reward -80.0, Record 2448.0
Game 81, Game Loss 4.610035419464111, Mean Loss 7.05748987197876, Actions 23, Mean reward 669.484312208912, Final reward 0.0,  Reward 1220.0, Record 2448.0
Game 82, Game Loss 11.518847465515137, Mean Loss 7.111896991729736, Actions 6, Mean reward 657.9052352307546, Final reward 0.0,  Reward -280.0, Record 2448.0
Game 83, Game Loss 11.318073272705078, Mean Loss 7.162573337554932, Actions 8, Mean reward 648.7738468544804, Final reward 0.0,  Reward -100.0, Record 2448.0
Game 84, Game Loss 6.658658504486084, Mean Loss 7.156574249267578, Actions 19, Mean reward 648.1932058204985, Final reward 0.0,  Reward 600.0, Record 2448.0
Game 85, Game Loss 7.69101095199585, Mean Loss 7.1628618240356445, Actions 7, Mean reward 638.4497563402573, Final reward 0.0,  Reward -180.0, Record 2448.0
Game 86, Game Loss 13.243318557739258, Mean Loss 7.233565330505371, Actions 6, Mean reward 627.5375498711845, Final reward 0.0,  Reward -300.0, Record 2448.0
Game 87, Game Loss 3.791719913482666, Mean Loss 7.194004058837891, Actions 17, Mean reward 633.5198768841594, Final reward 0.0,  Reward 1148.0, Record 2448.0
Game 88, Game Loss 3.5103302001953125, Mean Loss 7.152143955230713, Actions 22, Mean reward 636.7753328286576, Final reward 0.0,  Reward 920.0, Record 2448.0
Game 89, Game Loss 3.6785647869110107, Mean Loss 7.113115310668945, Actions 17, Mean reward 642.5194302126054, Final reward 0.0,  Reward 1148.0, Record 2448.0
