Command main.py play --no-gui --agents ppo2_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 77, Game Loss -1.2754461326038794e+19, Mean Loss -3.9323076792292475e+18, Actions 5, Mean reward 1381.8004069075537, Final reward 0.0,  Reward 420.0, Record 6407.551339634509
Game 78, Game Loss -1.4141003762780602e+19, Mean Loss -4.0631885955973775e+18, Actions 7, Mean reward 1372.762367502756, Final reward 0.5,  Reward 676.8333333333333, Record 6407.551339634509
Game 79, Game Loss -1.2722679942437929e+19, Mean Loss -4.172802483183157e+18, Actions 5, Mean reward 1360.7020843698097, Final reward 0.0,  Reward 420.0, Record 6407.551339634509
Game 80, Game Loss -2.1556552184176312e+19, Mean Loss -4.390099241058435e+18, Actions 18, Mean reward 1364.943308315187, Final reward 0.0,  Reward 1700.0, Record 6407.551339634509
Game 81, Game Loss -2.1017692530519572e+19, Mean Loss -4.595378336842121e+18, Actions 9, Mean reward 1358.215613150802, Final reward 0.0,  Reward 820.0, Record 6407.551339634509
Game 82, Game Loss -1.4793514435842408e+19, Mean Loss -4.719746021205213e+18, Actions 5, Mean reward 1346.77395933189, Final reward 0.0,  Reward 420.0, Record 6407.551339634509
Game 83, Game Loss -2.2924993360990044e+19, Mean Loss -4.93908649631862e+18, Actions 23, Mean reward 1357.9152369303008, Final reward 0.5,  Reward 2271.5, Record 6407.551339634509
Game 84, Game Loss -1.702276876360011e+19, Mean Loss -5.082939450871251e+18, Actions 6, Mean reward 1347.7019603001781, Final reward 0.0,  Reward 500.0, Record 6407.551339634509
Game 85, Game Loss -2.5149437325376225e+19, Mean Loss -5.31901614222685e+18, Actions 36, Mean reward 1379.7241167413433, Final reward 1.5,  Reward 4069.5852577992146, Record 6407.551339634509
Game 86, Game Loss -2.6550426245395382e+19, Mean Loss -5.565892786546278e+18, Actions 8, Mean reward 1372.2854642210953, Final reward 0.0,  Reward 740.0, Record 6407.551339634509
Game 87, Game Loss -2.4268592172085805e+19, Mean Loss -5.780866551229972e+18, Actions 32, Mean reward 1397.600190685987, Final reward 1.0,  Reward 3574.666666666667, Record 6407.551339634509
Game 88, Game Loss -2.8079987657120154e+19, Mean Loss -6.034265498525368e+18, Actions 8, Mean reward 1391.3092794281915, Final reward 1.0,  Reward 844.0, Record 6407.551339634509
Game 89, Game Loss -3.0646966876953903e+19, Mean Loss -6.310812464120332e+18, Actions 15, Mean reward 1393.0586133672007, Final reward 1.0,  Reward 1547.0, Record 6407.551339634509
