Game 98, Game Loss 12.614863395690918, Mean Loss 248.0492401123047, Actions 14, Mean reward 326.1612959355512, Final reward 0.0,  Reward 208.0, Record 1809.585365853659
Game 99, Game Loss 9.170333862304688, Mean Loss 245.63632202148438, Actions 21, Mean reward 327.23393500794526, Final reward 2.0,  Reward 432.35256410256403, Record 1809.585365853659
Game 100, Game Loss 21.702796936035156, Mean Loss 243.39698791503906, Actions 7, Mean reward 324.7215956578658, Final reward 0.0,  Reward 76.0, Record 1809.585365853659
Game 101, Game Loss 3.733351945877075, Mean Loss 241.02407836914062, Actions 16, Mean reward 323.48672837412454, Final reward 0.0,  Reward 200.0, Record 1809.585365853659
Game 102, Game Loss 4.255030632019043, Mean Loss 238.70281982421875, Actions 42, Mean reward 328.81441755143123, Final reward 2.0,  Reward 866.9110244594118, Record 1809.585365853659
Game 103, Game Loss 32.3916015625, Mean Loss 236.6997833251953, Actions 58, Mean reward 338.65865379838965, Final reward 3.0,  Reward 1342.770750988142, Record 1809.585365853659
Game 104, Game Loss 30.178163528442383, Mean Loss 234.71400451660156, Actions 78, Mean reward 351.8790436662309, Final reward 1.5,  Reward 1713.5792000538886, Record 1809.585365853659
Game 105, Game Loss 13.824179649353027, Mean Loss 232.61029052734375, Actions 10, Mean reward 349.89948127124194, Final reward 0.0,  Reward 144.024992192379, Record 1809.585365853659
Game 106, Game Loss 12.359169960021973, Mean Loss 230.53244018554688, Actions 12, Mean reward 348.31080691962643, Final reward 0.5,  Reward 181.5, Record 1809.585365853659
Game 107, Game Loss 10.40542984008789, Mean Loss 228.47518920898438, Actions 9, Mean reward 346.06491152785424, Final reward 0.0,  Reward 108.0, Record 1809.585365853659
Game 108, Game Loss 34.459903717041016, Mean Loss 226.67874145507812, Actions 6, Mean reward 343.80968086555924, Final reward 0.5,  Reward 102.5, Record 1809.585365853659
Game 109, Game Loss 4.139218807220459, Mean Loss 224.63710021972656, Actions 16, Mean reward 342.49032599523304, Final reward 0.0,  Reward 200.0, Record 1809.585365853659
Game 110, Game Loss 10.201306343078613, Mean Loss 222.68768310546875, Actions 14, Mean reward 341.55405030436725, Final reward 0.5,  Reward 239.50000000000006, Record 1809.585365853659
Game 111, Game Loss 2.9553160667419434, Mean Loss 220.70809936523438, Actions 17, Mean reward 340.42293273405767, Final reward 0.0,  Reward 216.0, Record 1809.585365853659
Game 112, Game Loss 19.295595169067383, Mean Loss 218.90977478027344, Actions 34, Mean reward 344.34990288592843, Final reward 2.5,  Reward 780.2435897435898, Record 1809.585365853659
Game 113, Game Loss 12.582792282104492, Mean Loss 217.0838623046875, Actions 11, Mean reward 342.3645055152565, Final reward 0.0,  Reward 120.0, Record 1809.585365853659
Game 114, Game Loss 22.6925106048584, Mean Loss 215.37867736816406, Actions 22, Mean reward 343.7983096933524, Final reward 2.0,  Reward 505.81818181818187, Record 1809.585365853659
Game 115, Game Loss 38.62820816040039, Mean Loss 213.84173583984375, Actions 36, Mean reward 349.17291985753394, Final reward 2.0,  Reward 961.8784785742297, Record 1809.585365853659
Game 116, Game Loss 30.80963134765625, Mean Loss 212.2638702392578, Actions 7, Mean reward 346.6455671001414, Final reward 0.0,  Reward 56.0, Record 1809.585365853659
Game 117, Game Loss 34.0390510559082, Mean Loss 210.74058532714844, Actions 8, Mean reward 344.7188040113734, Final reward 0.5,  Reward 121.21428571428572, Record 1809.585365853659
Game 118, Game Loss 20.003454208374023, Mean Loss 209.12417602539062, Actions 24, Mean reward 346.2306704826248, Final reward 2.5,  Reward 523.1190476190476, Record 1809.585365853659
Game 119, Game Loss 9.83017349243164, Mean Loss 207.44943237304688, Actions 13, Mean reward 344.5984799743675, Final reward 0.0,  Reward 152.0, Record 1809.585365853659
Game 120, Game Loss 95.06456756591797, Mean Loss 206.5128936767578, Actions 9, Mean reward 343.1601593079144, Final reward 0.5,  Reward 172.0, Record 1809.585365853659
Game 121, Game Loss 5.722419261932373, Mean Loss 204.8534698486328, Actions 19, Mean reward 342.37371171032834, Final reward 0.0,  Reward 248.0, Record 1809.585365853659
Game 122, Game Loss 58.806941986083984, Mean Loss 203.65635681152344, Actions 5, Mean reward 340.4526157127027, Final reward 1.0,  Reward 108.0, Record 1809.585365853659
Game 123, Game Loss 110.62177276611328, Mean Loss 202.8999786376953, Actions 7, Mean reward 338.9773911947133, Final reward 0.5,  Reward 159.0, Record 1809.585365853659
Game 124, Game Loss 62.73428726196289, Mean Loss 201.7696075439453, Actions 13, Mean reward 339.27889317188203, Final reward 2.0,  Reward 376.36363636363643, Record 1809.585365853659
Game 125, Game Loss 32.28376770019531, Mean Loss 200.41371154785156, Actions 9, Mean reward 337.42866202650697, Final reward 0.0,  Reward 108.0, Record 1809.585365853659
Game 126, Game Loss 105.38118743896484, Mean Loss 199.65948486328125, Actions 16, Mean reward 338.05224407391563, Final reward 1.0,  Reward 416.0, Record 1809.585365853659
Game 127, Game Loss 35.17475891113281, Mean Loss 198.3643341064453, Actions 11, Mean reward 336.335297270184, Final reward 0.0,  Reward 120.0, Record 1809.585365853659
Game 128, Game Loss 9.527178764343262, Mean Loss 196.8890380859375, Actions 30, Mean reward 337.3869057014372, Final reward 0.5,  Reward 470.94117647058835, Record 1809.585365853659
Game 129, Game Loss 10.818207740783691, Mean Loss 195.44662475585938, Actions 9, Mean reward 335.60871263398417, Final reward 0.0,  Reward 108.0, Record 1809.585365853659
Game 130, Game Loss 73.24777221679688, Mean Loss 194.5066375732422, Actions 12, Mean reward 335.1745430496202, Final reward 1.5,  Reward 279.1666666666667, Record 1809.585365853659
Game 131, Game Loss 16.279132843017578, Mean Loss 193.14613342285156, Actions 13, Mean reward 333.97473737748567, Final reward 0.5,  Reward 178.0, Record 1809.585365853659
Game 132, Game Loss 20.45220947265625, Mean Loss 191.8378448486328, Actions 29, Mean reward 335.5777426138034, Final reward 1.0,  Reward 545.5714285714282, Record 1809.585365853659
Game 133, Game Loss 6.084360599517822, Mean Loss 190.4412078857422, Actions 25, Mean reward 336.4546808371266, Final reward 1.0,  Reward 452.21052631578954, Record 1809.585365853659
Game 134, Game Loss 21.27170753479004, Mean Loss 189.17874145507812, Actions 25, Mean reward 338.5567387023914, Final reward 2.5,  Reward 618.1304347826085, Record 1809.585365853659
Game 135, Game Loss 7.207178592681885, Mean Loss 187.83079528808594, Actions 17, Mean reward 337.6489110082996, Final reward 0.0,  Reward 216.0, Record 1809.585365853659
Game 136, Game Loss 10.907125473022461, Mean Loss 186.52989196777344, Actions 14, Mean reward 336.74340430970915, Final reward 0.5,  Reward 214.5, Record 1809.585365853659
Game 137, Game Loss 10.90746021270752, Mean Loss 185.2479705810547, Actions 11, Mean reward 335.7253596377631, Final reward 0.0,  Reward 197.2712842531054, Record 1809.585365853659
Game 138, Game Loss 17.383106231689453, Mean Loss 184.03155517578125, Actions 17, Mean reward 336.1041613795185, Final reward 2.0,  Reward 387.99999999999994, Record 1809.585365853659
Game 139, Game Loss 64.5073013305664, Mean Loss 183.1716766357422, Actions 7, Mean reward 334.3947789235507, Final reward 0.5,  Reward 98.5, Record 1809.585365853659
Game 140, Game Loss 22.316843032836914, Mean Loss 182.022705078125, Actions 8, Mean reward 332.8312447883825, Final reward 0.5,  Reward 115.5, Record 1809.585365853659
Game 141, Game Loss 10.023833274841309, Mean Loss 180.8028564453125, Actions 10, Mean reward 331.20832815867766, Final reward 0.0,  Reward 104.0, Record 1809.585365853659
Game 142, Game Loss 8.279631614685059, Mean Loss 179.58790588378906, Actions 11, Mean reward 329.7209455660109, Final reward 0.0,  Reward 120.0, Record 1809.585365853659
Game 143, Game Loss 10.816372871398926, Mean Loss 178.40768432617188, Actions 6, Mean reward 327.6949249676472, Final reward 0.0,  Reward 40.0, Record 1809.585365853659
Game 144, Game Loss 46.04618453979492, Mean Loss 177.48851013183594, Actions 26, Mean reward 329.4543964854372, Final reward 1.5,  Reward 581.0588235294117, Record 1809.585365853659
Game 145, Game Loss 10.748931884765625, Mean Loss 176.3385772705078, Actions 15, Mean reward 328.7271247855377, Final reward 0.0,  Reward 224.0, Record 1809.585365853659
Game 146, Game Loss 19.571115493774414, Mean Loss 175.2648162841797, Actions 14, Mean reward 328.6159800952258, Final reward 1.5,  Reward 312.5, Record 1809.585365853659
Game 147, Game Loss 91.94709014892578, Mean Loss 174.6980438232422, Actions 32, Mean reward 333.3941092456397, Final reward 3.0,  Reward 1031.0009652060783, Record 1809.585365853659
