Command main.py play --no-gui --agents simple_net_imitation rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_imitation rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_imitation rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_imitation rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 91, Game Loss 10.188505172729492, Mean Loss 10.392138481140137, Actions 28, Mean reward -526.3736263736264, Reward -500, Record 1200
Game 92, Game Loss 10.183124542236328, Mean Loss 10.389866828918457, Actions 22, Mean reward -510.8695652173913, Reward 900, Record 1200
Game 93, Game Loss 9.6398286819458, Mean Loss 10.38180160522461, Actions 39, Mean reward -518.2795698924731, Reward -1200, Record 1200
Game 94, Game Loss 11.558778762817383, Mean Loss 10.394322395324707, Actions 14, Mean reward -511.70212765957444, Reward 100, Record 1200
Game 95, Game Loss 10.822311401367188, Mean Loss 10.398828506469727, Actions 31, Mean reward -504.2105263157895, Reward 200, Record 1200
Game 96, Game Loss 11.343656539916992, Mean Loss 10.408669471740723, Actions 5, Mean reward -501.0416666666667, Reward -200, Record 1200
Game 97, Game Loss 11.05988883972168, Mean Loss 10.415383338928223, Actions 23, Mean reward -497.9381443298969, Reward -200, Record 1200
Game 98, Game Loss 11.160903930664062, Mean Loss 10.422990798950195, Actions 67, Mean reward -498.9795918367347, Reward -600, Record 1200
Game 99, Game Loss 10.327262878417969, Mean Loss 10.422022819519043, Actions 15, Mean reward -485.85858585858585, Reward 800, Record 1200
Game 100, Game Loss 9.98460865020752, Mean Loss 10.417649269104004, Actions 40, Mean reward -484.0, Reward -300, Record 1200
Game 101, Game Loss 11.983987808227539, Mean Loss 10.433156967163086, Actions 74, Mean reward -496.03960396039605, Reward -1700, Record 1200
Game 102, Game Loss 9.461721420288086, Mean Loss 10.423632621765137, Actions 10, Mean reward -498.03921568627453, Reward -700, Record 1200
Game 103, Game Loss 11.041020393371582, Mean Loss 10.429627418518066, Actions 37, Mean reward -493.20388349514565, Reward 0, Record 1200
Game 104, Game Loss 11.498373985290527, Mean Loss 10.43990421295166, Actions 39, Mean reward -501.9230769230769, Reward -1400, Record 1200
Game 105, Game Loss 10.77273941040039, Mean Loss 10.443073272705078, Actions 59, Mean reward -499.04761904761904, Reward -200, Record 1200
Game 106, Game Loss 8.993250846862793, Mean Loss 10.42939567565918, Actions 33, Mean reward -494.33962264150944, Reward 0, Record 1200
Game 107, Game Loss 9.150028228759766, Mean Loss 10.417439460754395, Actions 19, Mean reward -487.85046728971963, Reward 200, Record 1200
Game 108, Game Loss 8.42052173614502, Mean Loss 10.39894962310791, Actions 23, Mean reward -492.5925925925926, Reward -1000, Record 1200
Game 109, Game Loss 10.342935562133789, Mean Loss 10.398435592651367, Actions 54, Mean reward -477.9816513761468, Reward 1100, Record 1200
Game 110, Game Loss 10.288192749023438, Mean Loss 10.397433280944824, Actions 15, Mean reward -477.27272727272725, Reward -400, Record 1200
Game 111, Game Loss 8.41827392578125, Mean Loss 10.379603385925293, Actions 7, Mean reward -476.5765765765766, Reward -400, Record 1200
Game 112, Game Loss 9.481525421142578, Mean Loss 10.37158489227295, Actions 82, Mean reward -480.35714285714283, Reward -900, Record 1200
Game 113, Game Loss 7.921535015106201, Mean Loss 10.349903106689453, Actions 31, Mean reward -474.3362831858407, Reward 200, Record 1200
Game 114, Game Loss 8.348129272460938, Mean Loss 10.332344055175781, Actions 21, Mean reward -463.1578947368421, Reward 800, Record 1200
Game 115, Game Loss 8.371511459350586, Mean Loss 10.315292358398438, Actions 29, Mean reward -469.5652173913044, Reward -1200, Record 1200
Game 116, Game Loss 9.945842742919922, Mean Loss 10.31210708618164, Actions 42, Mean reward -466.37931034482756, Reward -100, Record 1200
Game 117, Game Loss 26.739341735839844, Mean Loss 10.45251178741455, Actions 60, Mean reward -468.37606837606836, Reward -700, Record 1200
Game 118, Game Loss 13.614458084106445, Mean Loss 10.479308128356934, Actions 11, Mean reward -467.79661016949154, Reward -400, Record 1200
Game 119, Game Loss 13.909734725952148, Mean Loss 10.508135795593262, Actions 8, Mean reward -464.70588235294116, Reward -100, Record 1200
Game 120, Game Loss 10.975902557373047, Mean Loss 10.51203441619873, Actions 31, Mean reward -464.1666666666667, Reward -400, Record 1200
