Command main.py play --no-gui --agents simple_net_q rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 110, Game Loss 1.7409394979476929, Mean Loss 52246608.0, Actions 5, Mean reward 905.3019388706475, Final reward 0.0,  Reward -320.0, Record 4819.115384615386
Game 111, Game Loss 1.8845651149749756, Mean Loss 51775916.0, Actions 16, Mean reward 912.4918728932957, Final reward 1.0,  Reward 1703.3846153846155, Record 4819.115384615386
Game 112, Game Loss 2.104116678237915, Mean Loss 51313632.0, Actions 49, Mean reward 947.6194790640855, Final reward 2.5,  Reward 4846.783764021732, Record 4846.783764021732
Game 113, Game Loss 4.900358200073242, Mean Loss 50859528.0, Actions 8, Mean reward 947.5874482759077, Final reward 1.0,  Reward 944.0, Record 4846.783764021732
Game 114, Game Loss 1.5492128133773804, Mean Loss 50413392.0, Actions 17, Mean reward 954.9419443436628, Final reward 0.0,  Reward 1786.0, Record 4846.783764021732
Game 115, Game Loss 1.1857647895812988, Mean Loss 49975016.0, Actions 34, Mean reward 986.0842124131689, Final reward 3.0,  Reward 4536.302772336863, Record 4846.783764021732
Game 116, Game Loss 1.349363088607788, Mean Loss 49544196.0, Actions 28, Mean reward 987.9714174785727, Final reward 0.5,  Reward 1205.0, Record 4846.783764021732
Game 117, Game Loss 1.3506110906600952, Mean Loss 49120740.0, Actions 5, Mean reward 977.475935277901, Final reward 0.0,  Reward -240.0, Record 4846.783764021732
Game 118, Game Loss 2.8344004154205322, Mean Loss 48704464.0, Actions 29, Mean reward 987.9450657698962, Final reward 1.0,  Reward 2212.8333333333326, Record 4846.783764021732
Game 119, Game Loss 5.520401954650879, Mean Loss 48295184.0, Actions 51, Mean reward 1028.0836761810397, Final reward 1.5,  Reward 5764.439704695966, Record 5764.439704695966
Game 120, Game Loss 3.5309150218963623, Mean Loss 47892724.0, Actions 5, Mean reward 1020.6954788795309, Final reward 0.5,  Reward 141.5, Record 5764.439704695966
Game 121, Game Loss 1.4172154664993286, Mean Loss 47496916.0, Actions 16, Mean reward 1027.9541939301134, Final reward 0.5,  Reward 1899.0, Record 5764.439704695966
Game 122, Game Loss 2.1646978855133057, Mean Loss 47107596.0, Actions 9, Mean reward 1024.1471923405222, Final reward 0.5,  Reward 563.5, Record 5764.439704695966
Game 123, Game Loss 1.9503649473190308, Mean Loss 46724608.0, Actions 11, Mean reward 1020.7720119149895, Final reward 1.0,  Reward 609.0, Record 5764.439704695966
Game 124, Game Loss 1.1970717906951904, Mean Loss 46347796.0, Actions 14, Mean reward 1013.8303021414816, Final reward 0.0,  Reward 160.0, Record 5764.439704695966
Game 125, Game Loss 1.3922992944717407, Mean Loss 45977016.0, Actions 32, Mean reward 1034.6572419093957, Final reward 3.0,  Reward 3617.1977731307484, Record 5764.439704695966
Game 126, Game Loss 1.3551347255706787, Mean Loss 45612116.0, Actions 5, Mean reward 1024.3821844339243, Final reward 0.0,  Reward -260.0, Record 5764.439704695966
Game 127, Game Loss 1.2276537418365479, Mean Loss 45252968.0, Actions 11, Mean reward 1026.2426921680403, Final reward 1.0,  Reward 1260.6666666666667, Record 5764.439704695966
Game 128, Game Loss 1.437948226928711, Mean Loss 44899428.0, Actions 39, Mean reward 1052.32487351643, Final reward 2.0,  Reward 4364.761904761905, Record 5764.439704695966
Game 129, Game Loss 2.0125010013580322, Mean Loss 44551372.0, Actions 6, Mean reward 1046.027781473667, Final reward 0.0,  Reward 240.0, Record 5764.439704695966
Game 130, Game Loss 3.3823370933532715, Mean Loss 44208668.0, Actions 22, Mean reward 1051.366029308485, Final reward 0.0,  Reward 1740.0, Record 5764.439704695966
Game 131, Game Loss 1.1020811796188354, Mean Loss 43871196.0, Actions 5, Mean reward 1047.8212504588018, Final reward 0.5,  Reward 587.0, Record 5764.439704695966
Game 132, Game Loss 1.4353094100952148, Mean Loss 43538840.0, Actions 39, Mean reward 1064.9003601997483, Final reward 2.0,  Reward 3302.263736263737, Record 5764.439704695966
Game 133, Game Loss 8.994880676269531, Mean Loss 43211480.0, Actions 75, Mean reward 1098.8635326631559, Final reward 2.0,  Reward 5582.002297832936, Record 5764.439704695966
Game 134, Game Loss 9.201702117919922, Mean Loss 42889004.0, Actions 25, Mean reward 1106.9483627867949, Final reward 1.0,  Reward 2182.2307692307695, Record 5764.439704695966
Game 135, Game Loss 5.118570804595947, Mean Loss 42571308.0, Actions 10, Mean reward 1100.6191156550408, Final reward 0.5,  Reward 252.5, Record 5764.439704695966
Game 136, Game Loss 7.212927341461182, Mean Loss 42258284.0, Actions 54, Mean reward 1126.3596613732636, Final reward 2.0,  Reward 4601.333333333334, Record 5764.439704695966
Game 137, Game Loss 11.176187515258789, Mean Loss 41949832.0, Actions 18, Mean reward 1116.4945056941401, Final reward 0.5,  Reward -225.16666666666669, Record 5764.439704695966
Game 138, Game Loss 13.31419563293457, Mean Loss 41645848.0, Actions 18, Mean reward 1120.0672879828671, Final reward 1.5,  Reward 1609.5384615384617, Record 5764.439704695966
Game 139, Game Loss 10.621142387390137, Mean Loss 41346236.0, Actions 5, Mean reward 1112.009249939825, Final reward 0.0,  Reward 0.0, Record 5764.439704695966
Game 140, Game Loss 4.480358600616455, Mean Loss 41050904.0, Actions 31, Mean reward 1115.0884494881172, Final reward 1.0,  Reward 1543.0971867007675, Record 5764.439704695966
Game 141, Game Loss 1.9581867456436157, Mean Loss 40759764.0, Actions 53, Mean reward 1152.1770711920194, Final reward 4.5,  Reward 6344.584109738336, Record 6344.584109738336
Game 142, Game Loss 1.474429726600647, Mean Loss 40472724.0, Actions 38, Mean reward 1160.8342749160192, Final reward 0.5,  Reward 2381.5, Record 6344.584109738336
Game 143, Game Loss 1.4129291772842407, Mean Loss 40189696.0, Actions 5, Mean reward 1151.8773918746485, Final reward 0.0,  Reward -120.0, Record 6344.584109738336
Game 144, Game Loss 1.2261525392532349, Mean Loss 39910604.0, Actions 8, Mean reward 1145.13865998663, Final reward 0.5,  Reward 181.5, Record 6344.584109738336
Game 145, Game Loss 3.6090476512908936, Mean Loss 39635356.0, Actions 85, Mean reward 1191.6831456981677, Final reward 1.0,  Reward 7894.0890881595715, Record 7894.0890881595715
Game 146, Game Loss 13.554688453674316, Mean Loss 39363884.0, Actions 12, Mean reward 1187.0586036043446, Final reward 0.5,  Reward 516.5, Record 7894.0890881595715
Game 147, Game Loss 7.538112163543701, Mean Loss 39096100.0, Actions 28, Mean reward 1201.086414611867, Final reward 2.5,  Reward 3249.1468217101, Record 7894.0890881595715
Game 148, Game Loss 3.314594030380249, Mean Loss 38831936.0, Actions 17, Mean reward 1207.0486685671922, Final reward 1.5,  Reward 2083.5, Record 7894.0890881595715
Game 149, Game Loss 2.4912075996398926, Mean Loss 38571320.0, Actions 37, Mean reward 1224.1204655217484, Final reward 2.0,  Reward 3750.746414796092, Record 7894.0890881595715
Game 150, Game Loss 2.8822860717773438, Mean Loss 38314180.0, Actions 21, Mean reward 1226.9259250445327, Final reward 1.5,  Reward 1644.939393939394, Record 7894.0890881595715
Game 151, Game Loss 4.483885765075684, Mean Loss 38060444.0, Actions 12, Mean reward 1223.2774089846353, Final reward 0.0,  Reward 676.0, Record 7894.0890881595715
Game 152, Game Loss 2.8658621311187744, Mean Loss 37810044.0, Actions 5, Mean reward 1216.0190049781575, Final reward 0.5,  Reward 120.0, Record 7894.0890881595715
Game 153, Game Loss 1.776685118675232, Mean Loss 37562920.0, Actions 5, Mean reward 1205.9796650763394, Final reward 0.0,  Reward -320.0, Record 7894.0890881595715
Game 154, Game Loss 1.4331506490707397, Mean Loss 37319004.0, Actions 19, Mean reward 1218.5131447260744, Final reward 2.5,  Reward 3136.135531135531, Record 7894.0890881595715
Game 155, Game Loss 1.8121782541275024, Mean Loss 37078236.0, Actions 43, Mean reward 1240.8776789688902, Final reward 3.5,  Reward 4685.015952362501, Record 7894.0890881595715
Game 156, Game Loss 3.07187819480896, Mean Loss 36840556.0, Actions 29, Mean reward 1244.128463078064, Final reward 0.0,  Reward 1748.0, Record 7894.0890881595715
Game 157, Game Loss 1.886382818222046, Mean Loss 36605904.0, Actions 5, Mean reward 1234.1658614024075, Final reward 0.0,  Reward -320.0, Record 7894.0890881595715
Game 158, Game Loss 1.314942479133606, Mean Loss 36374220.0, Actions 7, Mean reward 1227.408482532772, Final reward 0.5,  Reward 166.5, Record 7894.0890881595715
Game 159, Game Loss 1.613659381866455, Mean Loss 36145452.0, Actions 76, Mean reward 1262.7137641753666, Final reward 1.5,  Reward 6840.94826370531, Record 7894.0890881595715
Game 160, Game Loss 2.3581600189208984, Mean Loss 35919544.0, Actions 8, Mean reward 1251.1968031492704, Final reward 0.0,  Reward -580.0, Record 7894.0890881595715
Game 161, Game Loss 1.37503981590271, Mean Loss 35696440.0, Actions 6, Mean reward 1242.8042764216352, Final reward 0.0,  Reward -100.0, Record 7894.0890881595715
Game 162, Game Loss 1.4593212604522705, Mean Loss 35476092.0, Actions 7, Mean reward 1235.0091882955758, Final reward 0.0,  Reward -20.0, Record 7894.0890881595715
Game 163, Game Loss 1.1062465906143188, Mean Loss 35258448.0, Actions 12, Mean reward 1231.7391932753576, Final reward 0.5,  Reward 701.9999999999999, Record 7894.0890881595715
