Command main.py play --no-gui --agents imitation_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 82, Game Loss 5.670251369476318, Mean Loss 7.153438568115234, Actions 37, Mean reward -292.6829268292683, Reward 400, Record 2400
Game 83, Game Loss 6.678049087524414, Mean Loss 7.147710800170898, Actions 22, Mean reward -300.0, Reward -900, Record 2400
Game 84, Game Loss 6.1201019287109375, Mean Loss 7.135477542877197, Actions 55, Mean reward -291.6666666666667, Reward 400, Record 2400
Game 85, Game Loss 6.1057844161987305, Mean Loss 7.123363494873047, Actions 8, Mean reward -291.7647058823529, Reward -300, Record 2400
Game 86, Game Loss 6.157821178436279, Mean Loss 7.112136363983154, Actions 123, Mean reward -279.06976744186045, Reward 800, Record 2400
Game 87, Game Loss 5.731411457061768, Mean Loss 7.09626579284668, Actions 78, Mean reward -260.91954022988506, Reward 1300, Record 2400
Game 88, Game Loss 5.660269737243652, Mean Loss 7.0799479484558105, Actions 28, Mean reward -238.63636363636363, Reward 1700, Record 2400
Game 89, Game Loss 5.520610332489014, Mean Loss 7.062427520751953, Actions 34, Mean reward -232.58426966292134, Reward 300, Record 2400
Game 90, Game Loss 5.831695556640625, Mean Loss 7.048752307891846, Actions 27, Mean reward -241.11111111111111, Reward -1000, Record 2400
Game 91, Game Loss 6.154731750488281, Mean Loss 7.0389275550842285, Actions 31, Mean reward -236.26373626373626, Reward 200, Record 2400
Game 92, Game Loss 5.756444454193115, Mean Loss 7.024987697601318, Actions 39, Mean reward -216.30434782608697, Reward 1600, Record 2400
Game 93, Game Loss 6.379537105560303, Mean Loss 7.018047332763672, Actions 63, Mean reward -216.1290322580645, Reward -200, Record 2400
Game 94, Game Loss 5.951470851898193, Mean Loss 7.0067009925842285, Actions 42, Mean reward -208.51063829787233, Reward 500, Record 2400
Game 95, Game Loss 6.187257289886475, Mean Loss 6.998075008392334, Actions 29, Mean reward -193.68421052631578, Reward 1200, Record 2400
