Command main.py play --no-gui --agents simple_net_q rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 66, Game Loss 33.249507904052734, Mean Loss 268308080.0, Actions 7, Mean reward -136.43365472910926, Final reward 0.0,  Reward -420.0, Record 1384.2121212121215
Game 67, Game Loss 33.81846618652344, Mean Loss 264303472.0, Actions 5, Mean reward -137.979421076436, Final reward 0.0,  Reward -240.0, Record 1384.2121212121215
Game 68, Game Loss 36.137996673583984, Mean Loss 260416656.0, Actions 6, Mean reward -134.77384135472371, Final reward 0.0,  Reward 80.0, Record 1384.2121212121215
Game 69, Game Loss 37.29776382446289, Mean Loss 256642512.0, Actions 5, Mean reward -136.5742204655248, Final reward 0.5,  Reward -259.0, Record 1384.2121212121215
Game 70, Game Loss 38.05259704589844, Mean Loss 252976192.0, Actions 5, Mean reward -127.94458874458874, Final reward 1.5,  Reward 467.5, Record 1384.2121212121215
Game 71, Game Loss 34.08533477783203, Mean Loss 249413136.0, Actions 42, Mean reward -122.78038784376814, Final reward 1.5,  Reward 238.71367521367415, Record 1384.2121212121215
Game 72, Game Loss 32.662811279296875, Mean Loss 245949072.0, Actions 38, Mean reward -141.63760467927136, Final reward 1.0,  Reward -1480.5, Record 1384.2121212121215
Game 73, Game Loss 31.44195556640625, Mean Loss 242579904.0, Actions 97, Mean reward -39.73161009462381, Final reward 1.0,  Reward 7297.5, Record 7297.5
Game 74, Game Loss 34.13374710083008, Mean Loss 239301792.0, Actions 8, Mean reward -41.6271288771289, Final reward 0.0,  Reward -180.0, Record 7297.5
Game 75, Game Loss 33.07032775878906, Mean Loss 236111104.0, Actions 15, Mean reward -32.805433825433845, Final reward 0.0,  Reward 620.0, Record 7297.5
Game 76, Game Loss 36.887718200683594, Mean Loss 233004384.0, Actions 5, Mean reward -36.17641495930971, Final reward 0.5,  Reward -289.0, Record 7297.5
Game 77, Game Loss 33.79688262939453, Mean Loss 229978352.0, Actions 19, Mean reward -22.88191606373426, Final reward 0.5,  Reward 987.5, Record 7297.5
Game 78, Game Loss 34.23176193237305, Mean Loss 227029904.0, Actions 20, Mean reward -11.562917139840232, Final reward 0.0,  Reward 860.0, Record 7297.5
