Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 84, Game Loss -4.522036238345044e+19, Mean Loss -1.3167601720663998e+19, Actions 5, Mean reward 774.1096559827491, Final reward 0.0,  Reward -200.0, Record 2707.2111025509275
Game 85, Game Loss -6.278937072275292e+19, Mean Loss -1.3751387419431666e+19, Actions 30, Mean reward 785.2377776770699, Final reward 0.0,  Reward 1720.0, Record 2707.2111025509275
Game 86, Game Loss -6.250871818073984e+19, Mean Loss -1.4318334097619943e+19, Actions 14, Mean reward 779.5954779366388, Final reward 0.0,  Reward 300.0, Record 2707.2111025509275
Game 87, Game Loss -6.758534368608859e+19, Mean Loss -1.4930599346570265e+19, Actions 18, Mean reward 782.680587385643, Final reward 0.0,  Reward 1048.0, Record 2707.2111025509275
Game 88, Game Loss -6.434934902414849e+19, Mean Loss -1.5492176009968484e+19, Actions 19, Mean reward 784.5592170744425, Final reward 0.0,  Reward 948.0, Record 2707.2111025509275
Game 89, Game Loss -7.435506316658449e+19, Mean Loss -1.6153557542843187e+19, Actions 19, Mean reward 786.3956303657409, Final reward 0.0,  Reward 948.0, Record 2707.2111025509275
Game 90, Game Loss -4.568215726711636e+19, Mean Loss -1.6481652912083173e+19, Actions 5, Mean reward 775.4356789172326, Final reward 0.0,  Reward -200.0, Record 2707.2111025509275
Game 91, Game Loss -7.546586018170798e+19, Mean Loss -1.7129830409819914e+19, Actions 18, Mean reward 774.6067154126476, Final reward 0.0,  Reward 700.0, Record 2707.2111025509275
Game 92, Game Loss -7.65272759306048e+19, Mean Loss -1.777545484155696e+19, Actions 9, Mean reward 768.3609902451188, Final reward 0.0,  Reward 200.0, Record 2707.2111025509275
Game 93, Game Loss -8.014648118115041e+19, Mean Loss -1.844611185452358e+19, Actions 26, Mean reward 775.6689365865692, Final reward 0.0,  Reward 1448.0, Record 2707.2111025509275
Game 94, Game Loss -9.330561226423402e+19, Mean Loss -1.9242489226033365e+19, Actions 18, Mean reward 780.6937351335206, Final reward 0.0,  Reward 1248.0, Record 2707.2111025509275
Game 95, Game Loss -8.37810444101128e+19, Mean Loss -1.9921842276464067e+19, Actions 11, Mean reward 774.5811695005361, Final reward 0.0,  Reward 200.0, Record 2707.2111025509275
Game 96, Game Loss -8.80803107965774e+19, Mean Loss -2.063182552182135e+19, Actions 21, Mean reward 780.0438656515722, Final reward 0.0,  Reward 1299.0, Record 2707.2111025509275
Game 97, Game Loss -9.312575855020894e+19, Mean Loss -2.1379185565453255e+19, Actions 19, Mean reward 784.1671247685664, Final reward 0.0,  Reward 1180.0, Record 2707.2111025509275
Game 98, Game Loss -8.792169085110793e+19, Mean Loss -2.205819117020958e+19, Actions 14, Mean reward 781.2674602301116, Final reward 0.0,  Reward 500.0, Record 2707.2111025509275
Game 99, Game Loss -1.004264453898974e+20, Mean Loss -2.284978896467342e+19, Actions 16, Mean reward 782.4667788136459, Final reward 0.0,  Reward 900.0, Record 2707.2111025509275
Game 100, Game Loss -9.599891437498296e+19, Mean Loss -2.3581278657470005e+19, Actions 11, Mean reward 778.8421110255093, Final reward 0.0,  Reward 420.0, Record 2707.2111025509275
Game 101, Game Loss -8.704097324116633e+19, Mean Loss -2.4209592378139345e+19, Actions 6, Mean reward 770.1407039856529, Final reward 0.0,  Reward -100.0, Record 2707.2111025509275
Game 102, Game Loss -1.0890874658963115e+20, Mean Loss -2.503997874380787e+19, Actions 26, Mean reward 779.2569715936366, Final reward 0.0,  Reward 1700.0, Record 2707.2111025509275
Game 103, Game Loss -1.0162266126435956e+20, Mean Loss -2.5783499292835578e+19, Actions 18, Mean reward 782.3709815781644, Final reward 0.0,  Reward 1100.0, Record 2707.2111025509275
Game 104, Game Loss -1.163644909571151e+20, Mean Loss -2.665447083170857e+19, Actions 31, Mean reward 791.6558759860667, Final reward 0.0,  Reward 1748.0, Record 2707.2111025509275
Game 105, Game Loss -9.978090891909058e+19, Mean Loss -2.7350912491858166e+19, Actions 12, Mean reward 785.0686771671518, Final reward 0.0,  Reward 100.0, Record 2707.2111025509275
Game 106, Game Loss -1.2973639953040592e+20, Mean Loss -2.831681366565008e+19, Actions 18, Mean reward 787.5491613448202, Final reward 0.0,  Reward 1048.0, Record 2707.2111025509275
Game 107, Game Loss -1.2236751658151628e+20, Mean Loss -2.919579184819654e+19, Actions 15, Mean reward 787.665524322906, Final reward 0.0,  Reward 800.0, Record 2707.2111025509275
Game 108, Game Loss -1.3738576349749471e+20, Mean Loss -3.0197550295193485e+19, Actions 16, Mean reward 788.7056583569531, Final reward 0.0,  Reward 900.0, Record 2707.2111025509275
Game 109, Game Loss -1.1931684680346108e+20, Mean Loss -3.1015160335747252e+19, Actions 7, Mean reward 781.4698266289076, Final reward 0.0,  Reward 0.0, Record 2707.2111025509275
Game 110, Game Loss -1.3044188137515909e+20, Mean Loss -3.191904025763958e+19, Actions 18, Mean reward 782.0746463868267, Final reward 0.0,  Reward 848.0, Record 2707.2111025509275
Game 111, Game Loss -1.4851852983495924e+20, Mean Loss -3.2969485079514448e+19, Actions 18, Mean reward 784.4703702932517, Final reward 0.0,  Reward 1048.0, Record 2707.2111025509275
Game 112, Game Loss -1.3522085149068283e+20, Mean Loss -3.388244476842895e+19, Actions 18, Mean reward 783.7161705584905, Final reward 0.0,  Reward 700.0, Record 2707.2111025509275
Game 113, Game Loss -1.574769635499851e+20, Mean Loss -3.4976203751368425e+19, Actions 28, Mean reward 791.8248770137251, Final reward 0.0,  Reward 1700.0, Record 2707.2111025509275
Game 114, Game Loss -1.632243659150679e+20, Mean Loss -3.610118446649023e+19, Actions 19, Mean reward 793.6509745837801, Final reward 0.0,  Reward 1000.0, Record 2707.2111025509275
Game 115, Game Loss -1.6862843917730788e+20, Mean Loss -3.725359579770179e+19, Actions 19, Mean reward 795.097487848269, Final reward 0.0,  Reward 960.0, Record 2707.2111025509275
Game 116, Game Loss -1.7597375739299103e+20, Mean Loss -3.844945982844305e+19, Actions 23, Mean reward 798.7604405392323, Final reward 0.0,  Reward 1220.0, Record 2707.2111025509275
Game 117, Game Loss -1.647569443866993e+20, Mean Loss -3.952900872310515e+19, Actions 15, Mean reward 798.771035064538, Final reward 0.0,  Reward 800.0, Record 2707.2111025509275
Game 118, Game Loss -1.8729239397210784e+20, Mean Loss -4.078124251597924e+19, Actions 13, Mean reward 797.0865347673808, Final reward 0.0,  Reward 600.0, Record 2707.2111025509275
Game 119, Game Loss -1.8705720403688004e+20, Mean Loss -4.20104525353677e+19, Actions 17, Mean reward 798.3547151474869, Final reward 0.0,  Reward 948.0, Record 2707.2111025509275
Game 120, Game Loss -1.3529151930202325e+20, Mean Loss -4.2787794062065795e+19, Actions 5, Mean reward 790.0350925212578, Final reward 0.0,  Reward -200.0, Record 2707.2111025509275
Game 121, Game Loss -1.9611250032826647e+20, Mean Loss -4.4054941630659035e+19, Actions 31, Mean reward 801.522405806206, Final reward 0.0,  Reward 2180.0, Record 2707.2111025509275
Game 122, Game Loss -1.9254475222190077e+20, Mean Loss -4.527207021628149e+19, Actions 13, Mean reward 798.2312385454995, Final reward 0.0,  Reward 400.0, Record 2707.2111025509275
Game 123, Game Loss -1.97654244328827e+20, Mean Loss -4.651094714190135e+19, Actions 9, Mean reward 793.3675699394385, Final reward 0.0,  Reward 200.0, Record 2707.2111025509275
Game 124, Game Loss -2.1277782445874636e+20, Mean Loss -4.785181036806721e+19, Actions 18, Mean reward 795.8404121173463, Final reward 0.0,  Reward 1100.0, Record 2707.2111025509275
Game 125, Game Loss -1.7790121007257538e+20, Mean Loss -4.889220345464095e+19, Actions 16, Mean reward 792.0336888204075, Final reward 0.0,  Reward 320.0, Record 2707.2111025509275
