Command main.py play --no-gui --agents ppo_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 102, Game Loss -2.1343331023847424e+16, Mean Loss -1.949745715924173e+16, Actions 37, Mean reward 2398.633032310112, Final reward 2.0,  Reward 3823.3333333333326, Record 8014.5
Game 103, Game Loss -2.8436853912764416e+16, Mean Loss -1.9584245563392e+16, Actions 15, Mean reward 2389.5103815109846, Final reward 1.0,  Reward 1459.0, Record 8014.5
Game 104, Game Loss -5.328825194695885e+16, Mean Loss -1.990832232071168e+16, Actions 43, Mean reward 2410.0329465239283, Final reward 1.0,  Reward 4523.857142857143, Record 8014.5
Game 105, Game Loss -1.973155005674291e+16, Mean Loss -1.990663869353165e+16, Actions 29, Mean reward 2415.3382228096216, Final reward 1.0,  Reward 2967.0869565217376, Record 8014.5
Game 106, Game Loss -2.4319279933004186e+17, Mean Loss -2.201311184630579e+16, Actions 6, Mean reward 2397.2689942925495, Final reward 0.0,  Reward 500.0, Record 8014.5
Game 107, Game Loss -9.980789313345946e+16, Mean Loss -2.274016605765632e+16, Actions 28, Mean reward 2400.285171915984, Final reward 0.0,  Reward 2720.0, Record 8014.5
Game 108, Game Loss -5.098164405560934e+16, Mean Loss -2.3001660846505984e+16, Actions 43, Mean reward 2417.191007218756, Final reward 0.5,  Reward 4226.115384615385, Record 8014.5
Game 109, Game Loss -7.644888886044262e+16, Mean Loss -2.349200223030477e+16, Actions 53, Mean reward 2446.480191750805, Final reward 2.5,  Reward 5609.712121212121, Record 8014.5
Game 110, Game Loss -8.913985579515904e+16, Mean Loss -2.4088800820985856e+16, Actions 74, Mean reward 2490.1303718257977, Final reward 0.0,  Reward 7248.0, Record 8014.5
Game 111, Game Loss -1.8600125533467443e+17, Mean Loss -2.554747264643891e+16, Actions 17, Mean reward 2482.1111792868264, Final reward 0.0,  Reward 1600.0, Record 8014.5
Game 112, Game Loss -7.839811681805926e+16, Mean Loss -2.601935426079949e+16, Actions 18, Mean reward 2478.2065798045005, Final reward 2.0,  Reward 2044.7960372663097, Record 8014.5
Game 113, Game Loss -5.028174906995507e+16, Mean Loss -2.623406611837747e+16, Actions 29, Mean reward 2484.8934463320716, Final reward 2.0,  Reward 3233.8224974200207, Record 8014.5
