Command main.py play --no-gui --agents simple_net_q rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 50, Game Loss 16.5580997467041, Mean Loss 83333336.0, Actions 13, Mean reward 891.0652535103874, Final reward 0.5,  Reward 645.0, Record 7168.460466362905
Game 51, Game Loss 12.532560348510742, Mean Loss 81699352.0, Actions 51, Mean reward 902.9373180840901, Final reward 3.0,  Reward 1496.5405467692226, Record 7168.460466362905
Game 52, Game Loss 17.862058639526367, Mean Loss 80128208.0, Actions 9, Mean reward 893.3327542747807, Final reward 0.5,  Reward 403.5, Record 7168.460466362905
Game 53, Game Loss 6.754976749420166, Mean Loss 78616352.0, Actions 14, Mean reward 897.9868532507282, Final reward 0.0,  Reward 1140.0, Record 7168.460466362905
Game 54, Game Loss 9.118379592895508, Mean Loss 77160496.0, Actions 21, Mean reward 902.6414176967024, Final reward 1.0,  Reward 1149.3333333333335, Record 7168.460466362905
Game 55, Game Loss 35.92036437988281, Mean Loss 75757576.0, Actions 7, Mean reward 877.5024828294896, Final reward 0.0,  Reward -480.0, Record 7168.460466362905
Game 56, Game Loss 6.993128299713135, Mean Loss 74404760.0, Actions 15, Mean reward 891.7256527789631, Final reward 2.0,  Reward 1674.0, Record 7168.460466362905
Game 57, Game Loss 6.528789520263672, Mean Loss 73099416.0, Actions 10, Mean reward 892.3971325547707, Final reward 2.0,  Reward 930.0, Record 7168.460466362905
Game 58, Game Loss 8.747878074645996, Mean Loss 71839080.0, Actions 24, Mean reward 894.2264923383092, Final reward 0.5,  Reward 998.5, Record 7168.460466362905
Game 59, Game Loss 7.211312770843506, Mean Loss 70621472.0, Actions 24, Mean reward 908.1219564427962, Final reward 0.0,  Reward 1714.0588745030454, Record 7168.460466362905
Game 60, Game Loss 41.34394454956055, Mean Loss 69444448.0, Actions 5, Mean reward 889.3199238354163, Final reward 0.0,  Reward -220.0, Record 7168.460466362905
Game 61, Game Loss 6.556672096252441, Mean Loss 68306016.0, Actions 23, Mean reward 888.1835316413931, Final reward 0.0,  Reward 820.0, Record 7168.460466362905
Game 62, Game Loss 42.67940902709961, Mean Loss 67204304.0, Actions 5, Mean reward 869.3418617762094, Final reward 0.0,  Reward -280.0, Record 7168.460466362905
Game 63, Game Loss 15.239033699035645, Mean Loss 66137568.0, Actions 15, Mean reward 869.2782343406082, Final reward 1.0,  Reward 865.3333333333335, Record 7168.460466362905
Game 64, Game Loss 15.268815040588379, Mean Loss 65104168.0, Actions 5, Mean reward 852.2582619290362, Final reward 0.0,  Reward -220.0, Record 7168.460466362905
Game 65, Game Loss 30.883840560913086, Mean Loss 64102564.0, Actions 19, Mean reward 837.2337758480766, Final reward 1.0,  Reward -124.33333333333331, Record 7168.460466362905
Game 66, Game Loss 8.766995429992676, Mean Loss 63131316.0, Actions 18, Mean reward 829.4120519715906, Final reward 1.0,  Reward 321.0, Record 7168.460466362905
Game 67, Game Loss 12.403312683105469, Mean Loss 62189056.0, Actions 8, Mean reward 831.0626183600743, Final reward 1.5,  Reward 940.0, Record 7168.460466362905
Game 68, Game Loss 19.334423065185547, Mean Loss 61274512.0, Actions 59, Mean reward 858.5299098132466, Final reward 3.5,  Reward 2698.838437175792, Record 7168.460466362905
Game 69, Game Loss 15.462671279907227, Mean Loss 60386476.0, Actions 8, Mean reward 847.2468676420401, Final reward 0.0,  Reward 80.0, Record 7168.460466362905
Game 70, Game Loss 6.809762477874756, Mean Loss 59523812.0, Actions 24, Mean reward 852.9933409614396, Final reward 0.5,  Reward 1249.5, Record 7168.460466362905
Game 71, Game Loss 14.574885368347168, Mean Loss 58685448.0, Actions 15, Mean reward 856.1614427990048, Final reward 0.5,  Reward 1077.9285714285716, Record 7168.460466362905
Game 72, Game Loss 26.76995849609375, Mean Loss 57870372.0, Actions 27, Mean reward 840.9359862521933, Final reward 0.5,  Reward -240.07142857142856, Record 7168.460466362905
Game 73, Game Loss 25.584430694580078, Mean Loss 57077628.0, Actions 5, Mean reward 829.4163152076427, Final reward 0.0,  Reward 0.0, Record 7168.460466362905
Game 74, Game Loss 64.04912567138672, Mean Loss 56306308.0, Actions 5, Mean reward 813.8836622994313, Final reward 0.0,  Reward -320.0, Record 7168.460466362905
Game 75, Game Loss 10.133511543273926, Mean Loss 55555556.0, Actions 41, Mean reward 846.2090229925818, Final reward 1.0,  Reward 3238.2857142857147, Record 7168.460466362905
Game 76, Game Loss 20.519489288330078, Mean Loss 54824564.0, Actions 9, Mean reward 836.6536411111005, Final reward 0.0,  Reward 120.0, Record 7168.460466362905
Game 77, Game Loss 9.180671691894531, Mean Loss 54112556.0, Actions 61, Mean reward 902.2074394299824, Final reward 1.5,  Reward 5884.296111665008, Record 7168.460466362905
Game 78, Game Loss 17.313968658447266, Mean Loss 53418804.0, Actions 44, Mean reward 933.4079656532965, Final reward 2.5,  Reward 3335.848484848485, Record 7168.460466362905
Game 79, Game Loss 27.13728141784668, Mean Loss 52742616.0, Actions 23, Mean reward 935.9841758529834, Final reward 1.5,  Reward 1136.9285714285716, Record 7168.460466362905
Game 80, Game Loss 23.992189407348633, Mean Loss 52083336.0, Actions 20, Mean reward 943.5302069881545, Final reward 0.5,  Reward 1539.666666666667, Record 7168.460466362905
Game 81, Game Loss 17.23003387451172, Mean Loss 51440332.0, Actions 11, Mean reward 938.4495871487946, Final reward 0.5,  Reward 532.0, Record 7168.460466362905
Game 82, Game Loss 30.64543342590332, Mean Loss 50813008.0, Actions 24, Mean reward 919.9319092567362, Final reward 0.0,  Reward -580.0, Record 7168.460466362905
Game 83, Game Loss 5.382312297821045, Mean Loss 50200804.0, Actions 40, Mean reward 940.3611706640116, Final reward 1.5,  Reward 2615.560606060606, Record 7168.460466362905
Game 84, Game Loss 27.264131546020508, Mean Loss 49603176.0, Actions 14, Mean reward 935.8330614894401, Final reward 0.0,  Reward 560.0, Record 7168.460466362905
Game 85, Game Loss 9.381540298461914, Mean Loss 49019608.0, Actions 46, Mean reward 957.9860058640741, Final reward 1.5,  Reward 2818.833333333334, Record 7168.460466362905
Game 86, Game Loss 33.75369644165039, Mean Loss 48449612.0, Actions 5, Mean reward 943.8233778889105, Final reward 0.0,  Reward -260.0, Record 7168.460466362905
Game 87, Game Loss 11.212291717529297, Mean Loss 47892720.0, Actions 13, Mean reward 939.2392011315667, Final reward 0.5,  Reward 545.0, Record 7168.460466362905
Game 88, Game Loss 14.392420768737793, Mean Loss 47348484.0, Actions 9, Mean reward 931.478907179314, Final reward 0.5,  Reward 256.33333333333337, Record 7168.460466362905
Game 89, Game Loss 19.243877410888672, Mean Loss 46816480.0, Actions 8, Mean reward 922.6139756379733, Final reward 0.5,  Reward 142.49999999999994, Record 7168.460466362905
Game 90, Game Loss 35.79521179199219, Mean Loss 46296296.0, Actions 6, Mean reward 913.2515981308848, Final reward 0.0,  Reward 80.0, Record 7168.460466362905
Game 91, Game Loss 37.865421295166016, Mean Loss 45787548.0, Actions 5, Mean reward 900.1389432063695, Final reward 0.0,  Reward -280.0, Record 7168.460466362905
Game 92, Game Loss 5.287951469421387, Mean Loss 45289856.0, Actions 18, Mean reward 900.5722155628221, Final reward 0.0,  Reward 940.0, Record 7168.460466362905
Game 93, Game Loss 10.491228103637695, Mean Loss 44802868.0, Actions 31, Mean reward 913.9531594815014, Final reward 0.5,  Reward 2145.0, Record 7168.460466362905
Game 94, Game Loss 16.116527557373047, Mean Loss 44326244.0, Actions 37, Mean reward 932.1309627494287, Final reward 0.5,  Reward 2622.6666666666665, Record 7168.460466362905
Game 95, Game Loss 14.475737571716309, Mean Loss 43859652.0, Actions 14, Mean reward 928.8453736678558, Final reward 0.0,  Reward 620.0, Record 7168.460466362905
Game 96, Game Loss 31.48362159729004, Mean Loss 43402780.0, Actions 7, Mean reward 919.1699010254823, Final reward 0.0,  Reward 0.0, Record 7168.460466362905
Game 97, Game Loss 10.15932846069336, Mean Loss 42955328.0, Actions 43, Mean reward 940.4825824582093, Final reward 0.5,  Reward 2986.5, Record 7168.460466362905
Game 98, Game Loss 23.862167358398438, Mean Loss 42517008.0, Actions 5, Mean reward 930.9164336576152, Final reward 1.0,  Reward 3.0, Record 7168.460466362905
Game 99, Game Loss 29.14085578918457, Mean Loss 42087544.0, Actions 5, Mean reward 919.088994933801, Final reward 0.0,  Reward -240.0, Record 7168.460466362905
Game 100, Game Loss 25.919204711914062, Mean Loss 41666668.0, Actions 5, Mean reward 907.898104984463, Final reward 0.0,  Reward -200.0, Record 7168.460466362905
Game 101, Game Loss 30.651226043701172, Mean Loss 41254128.0, Actions 7, Mean reward 900.6911930539237, Final reward 0.0,  Reward 180.0, Record 7168.460466362905
Game 102, Game Loss 8.008240699768066, Mean Loss 40849676.0, Actions 38, Mean reward 918.3952009651598, Final reward 0.5,  Reward 2706.5, Record 7168.460466362905
Game 103, Game Loss 13.090721130371094, Mean Loss 40453076.0, Actions 25, Mean reward 923.7783266145965, Final reward 0.5,  Reward 1472.857142857143, Record 7168.460466362905
Game 104, Game Loss 45.616065979003906, Mean Loss 40064104.0, Actions 6, Mean reward 913.1650734740716, Final reward 0.0,  Reward -180.0, Record 7168.460466362905
Game 105, Game Loss 8.966997146606445, Mean Loss 39682540.0, Actions 47, Mean reward 935.9403720940464, Final reward 1.0,  Reward 3304.5714285714284, Record 7168.460466362905
Game 106, Game Loss 11.692471504211426, Mean Loss 39308176.0, Actions 85, Mean reward 963.9174410676795, Final reward 2.0,  Reward 3901.5096832991585, Record 7168.460466362905
Game 107, Game Loss 15.040684700012207, Mean Loss 38940812.0, Actions 5, Mean reward 953.0397079735891, Final reward 0.0,  Reward -200.0, Record 7168.460466362905
Game 108, Game Loss 23.324174880981445, Mean Loss 38580248.0, Actions 6, Mean reward 943.1319328997596, Final reward 1.0,  Reward -117.0, Record 7168.460466362905
Game 109, Game Loss 50.77033233642578, Mean Loss 38226300.0, Actions 6, Mean reward 933.9564105795782, Final reward 1.0,  Reward -57.0, Record 7168.460466362905
Game 110, Game Loss 4.968096733093262, Mean Loss 37878788.0, Actions 37, Mean reward 944.2833854408567, Final reward 1.5,  Reward 2069.923645320196, Record 7168.460466362905
Game 111, Game Loss 25.843116760253906, Mean Loss 37537540.0, Actions 15, Mean reward 940.316868454903, Final reward 0.0,  Reward 504.0, Record 7168.460466362905
Game 112, Game Loss 53.604087829589844, Mean Loss 37202380.0, Actions 5, Mean reward 929.9658249865557, Final reward 0.5,  Reward -219.0, Record 7168.460466362905
Game 113, Game Loss 38.162315368652344, Mean Loss 36873156.0, Actions 7, Mean reward 921.5590477742853, Final reward 0.0,  Reward -20.0, Record 7168.460466362905
Game 114, Game Loss 36.765838623046875, Mean Loss 36549708.0, Actions 5, Mean reward 913.8392315657389, Final reward 0.5,  Reward 41.5, Record 7168.460466362905
Game 115, Game Loss 12.762219429016113, Mean Loss 36231884.0, Actions 9, Mean reward 908.0493252042977, Final reward 0.5,  Reward 248.0, Record 7168.460466362905
Game 116, Game Loss 5.503606796264648, Mean Loss 35919540.0, Actions 16, Mean reward 905.0963137801227, Final reward 0.5,  Reward 565.5, Record 7168.460466362905
Game 117, Game Loss 7.353651523590088, Mean Loss 35612536.0, Actions 17, Mean reward 905.4544649443952, Final reward 0.5,  Reward 947.0, Record 7168.460466362905
Game 118, Game Loss 6.584342002868652, Mean Loss 35310736.0, Actions 15, Mean reward 904.2217999872393, Final reward 0.0,  Reward 760.0, Record 7168.460466362905
Game 119, Game Loss 33.553123474121094, Mean Loss 35014008.0, Actions 6, Mean reward 895.1106924243213, Final reward 0.0,  Reward -180.0, Record 7168.460466362905
Game 120, Game Loss 16.471940994262695, Mean Loss 34722224.0, Actions 6, Mean reward 886.1514366541186, Final reward 0.0,  Reward -180.0, Record 7168.460466362905
Game 121, Game Loss 18.72201919555664, Mean Loss 34435264.0, Actions 9, Mean reward 881.8870997120736, Final reward 0.5,  Reward 370.16666666666663, Record 7168.460466362905
Game 122, Game Loss 4.365415096282959, Mean Loss 34153008.0, Actions 32, Mean reward 893.5109759439418, Final reward 0.0,  Reward 2300.0, Record 7168.460466362905
