random_prob = 0.65
random_vec=[0.18, 0.18, 0.18, 0.18, 0.18, 0.1]
Game 82, Game Loss nan, Mean Loss nan, Actions 7, Mean reward -82.1951219512195, Final reward 0.0,  Reward -128.0, Record 56.0
Game 83, Game Loss nan, Mean Loss nan, Actions 14, Mean reward -83.03614457831326, Final reward 0.0,  Reward -152.0, Record 56.0
Game 84, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -82.57142857142857, Final reward 0.0,  Reward -44.0, Record 56.0
Game 85, Game Loss nan, Mean Loss nan, Actions 7, Mean reward -81.92941176470588, Final reward 0.0,  Reward -28.0, Record 56.0
Game 86, Game Loss nan, Mean Loss nan, Actions 34, Mean reward -81.44186046511628, Final reward 0.0,  Reward -40.0, Record 56.0
Game 87, Game Loss nan, Mean Loss nan, Actions 8, Mean reward -81.01149425287356, Final reward 0.0,  Reward -44.0, Record 56.0
Game 88, Game Loss nan, Mean Loss nan, Actions 17, Mean reward -81.81818181818181, Final reward 0.0,  Reward -152.0, Record 56.0
Game 89, Game Loss nan, Mean Loss nan, Actions 18, Mean reward -82.42696629213484, Final reward 0.0,  Reward -136.0, Record 56.0
Game 90, Game Loss nan, Mean Loss nan, Actions 16, Mean reward -82.44444444444444, Final reward 0.0,  Reward -84.0, Record 56.0
Game 91, Game Loss nan, Mean Loss nan, Actions 8, Mean reward -82.68131868131869, Final reward 0.0,  Reward -104.0, Record 56.0
Game 92, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -82.91304347826087, Final reward 0.0,  Reward -104.0, Record 56.0
Game 93, Game Loss nan, Mean Loss nan, Actions 5, Mean reward -82.40860215053763, Final reward 0.0,  Reward -36.0, Record 56.0
Game 94, Game Loss nan, Mean Loss nan, Actions 25, Mean reward -80.63829787234043, Final reward 0.0,  Reward 84.0, Record 84.0
Game 95, Game Loss nan, Mean Loss nan, Actions 18, Mean reward -80.50526315789473, Final reward 0.0,  Reward -68.0, Record 84.0
Game 96, Game Loss nan, Mean Loss nan, Actions 7, Mean reward -81.0, Final reward 0.0,  Reward -128.0, Record 84.0
Game 97, Game Loss nan, Mean Loss nan, Actions 10, Mean reward -81.4020618556701, Final reward 0.0,  Reward -120.0, Record 84.0
Game 98, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -81.63265306122449, Final reward 0.0,  Reward -104.0, Record 84.0
Game 99, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -82.02020202020202, Final reward 0.0,  Reward -120.0, Record 84.0
Game 100, Game Loss nan, Mean Loss nan, Actions 12, Mean reward -80.6, Final reward 0.0,  Reward 60.0, Record 84.0
Game 101, Game Loss nan, Mean Loss nan, Actions 23, Mean reward -80.79207920792079, Final reward 0.0,  Reward -100.0, Record 84.0
Game 102, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -80.43137254901961, Final reward 0.0,  Reward -44.0, Record 84.0
Game 103, Game Loss nan, Mean Loss nan, Actions 56, Mean reward -79.68932038834951, Final reward 0.0,  Reward -4.0, Record 84.0
Game 104, Game Loss nan, Mean Loss nan, Actions 5, Mean reward -79.92307692307692, Final reward 0.0,  Reward -104.0, Record 84.0
Game 105, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -80.3047619047619, Final reward 0.0,  Reward -120.0, Record 84.0
Game 106, Game Loss nan, Mean Loss nan, Actions 8, Mean reward -80.60377358490567, Final reward 0.0,  Reward -112.0, Record 84.0
Game 107, Game Loss nan, Mean Loss nan, Actions 16, Mean reward -80.89719626168224, Final reward 0.0,  Reward -112.0, Record 84.0
Game 108, Game Loss nan, Mean Loss nan, Actions 7, Mean reward -80.70370370370371, Final reward 0.0,  Reward -60.0, Record 84.0
