Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 58, Game Loss -4.244367427292365e+16, Mean Loss -8042444373360640.0, Actions 27, Mean reward -1024.1379310344828, Reward -2200, Record 600
Game 59, Game Loss -4.9321793814528e+16, Mean Loss -8742094009008128.0, Actions 18, Mean reward -1032.2033898305085, Reward -1500, Record 600
Game 60, Game Loss -5.143722412159795e+16, Mean Loss -9453679358771200.0, Actions 13, Mean reward -1025.0, Reward -600, Record 600
Game 61, Game Loss -5.395922891780915e+16, Mean Loss -1.0183279411986432e+16, Actions 17, Mean reward -1001.639344262295, Reward 400, Record 600
Game 62, Game Loss -4.497919533121536e+16, Mean Loss -1.0744502788554752e+16, Actions 6, Mean reward -987.0967741935484, Reward -100, Record 600
Game 63, Game Loss -5.883287004250112e+16, Mean Loss -1.1507810818850816e+16, Actions 16, Mean reward -969.8412698412699, Reward 100, Record 600
Game 64, Game Loss -6.331079865034342e+16, Mean Loss -1.2317231765520384e+16, Actions 23, Mean reward -989.0625, Reward -2200, Record 600
Game 65, Game Loss -6.880824082510643e+16, Mean Loss -1.3186324840316928e+16, Actions 8, Mean reward -978.4615384615385, Reward -300, Record 600
Game 66, Game Loss -7.197498034198938e+16, Mean Loss -1.4077062402801664e+16, Actions 14, Mean reward -965.1515151515151, Reward -100, Record 600
Game 67, Game Loss -7.7764677861376e+16, Mean Loss -1.502762349101056e+16, Actions 12, Mean reward -943.2835820895523, Reward 500, Record 600
Game 68, Game Loss -7.836861898267034e+16, Mean Loss -1.5959108481974272e+16, Actions 21, Mean reward -952.9411764705883, Reward -1600, Record 600
Game 69, Game Loss -7.771832657431757e+16, Mean Loss -1.6854168929042432e+16, Actions 10, Mean reward -937.6811594202899, Reward 100, Record 600
Game 70, Game Loss -8.930677540415078e+16, Mean Loss -1.7889205581512704e+16, Actions 17, Mean reward -921.4285714285714, Reward 200, Record 600
Game 71, Game Loss -9.793640408390042e+16, Mean Loss -1.901663127548723e+16, Actions 20, Mean reward -907.0422535211268, Reward 100, Record 600
Game 72, Game Loss -9.329040911079834e+16, Mean Loss -2.004821155302605e+16, Actions 21, Mean reward -897.2222222222222, Reward -200, Record 600
Game 73, Game Loss -1.0839018268367258e+17, Mean Loss -2.1258374423248896e+16, Actions 23, Mean reward -906.8493150684932, Reward -1600, Record 600
Game 74, Game Loss -1.246314726644777e+17, Mean Loss -2.265530609382195e+16, Actions 40, Mean reward -922.972972972973, Reward -2100, Record 600
Game 75, Game Loss -1.0128668473321062e+17, Mean Loss -2.3703726938128384e+16, Actions 5, Mean reward -910.6666666666666, Reward 0, Record 600
Game 76, Game Loss -1.4576160365923533e+17, Mean Loss -2.530975050157261e+16, Actions 26, Mean reward -907.8947368421053, Reward -700, Record 600
Game 77, Game Loss -1.49332559728214e+17, Mean Loss -2.692043625201664e+16, Actions 17, Mean reward -893.5064935064935, Reward 200, Record 600
Game 78, Game Loss -1.643500503176315e+17, Mean Loss -2.8682354243403776e+16, Actions 62, Mean reward -950.0, Reward -5300, Record 600
Game 79, Game Loss -1.8827882495213568e+17, Mean Loss -3.070256083055411e+16, Actions 47, Mean reward -973.4177215189874, Reward -2800, Record 600
Game 80, Game Loss -2.185220261454807e+17, Mean Loss -3.305030162369741e+16, Actions 56, Mean reward -1017.5, Reward -4500, Record 600
Game 81, Game Loss -2.5592425062649037e+17, Mean Loss -3.5801833767174144e+16, Actions 17, Mean reward -1007.4074074074074, Reward -200, Record 600
Game 82, Game Loss -2.5876762205565747e+17, Mean Loss -3.852092602266419e+16, Actions 17, Mean reward -1009.7560975609756, Reward -1200, Record 600
Game 83, Game Loss -2.5796180029158195e+17, Mean Loss -4.11647962209321e+16, Actions 10, Mean reward -996.3855421686746, Reward 100, Record 600
Game 84, Game Loss -2.853887570692014e+17, Mean Loss -4.407222279235174e+16, Actions 13, Mean reward -982.1428571428571, Reward 200, Record 600
Game 85, Game Loss -2.915760182363423e+17, Mean Loss -4.698403023041331e+16, Actions 29, Mean reward -996.4705882352941, Reward -2200, Record 600
Game 86, Game Loss -2.797924146825134e+17, Mean Loss -4.969110516740915e+16, Actions 10, Mean reward -986.046511627907, Reward -100, Record 600
Game 87, Game Loss -2.988938865944822e+17, Mean Loss -5.255550475645747e+16, Actions 23, Mean reward -997.7011494252873, Reward -2000, Record 600
Game 88, Game Loss -3.2358214888587264e+17, Mean Loss -5.563535278997504e+16, Actions 35, Mean reward -997.7272727272727, Reward -1000, Record 600
Game 89, Game Loss -3.642462120496333e+17, Mean Loss -5.910289034143334e+16, Actions 60, Mean reward -1039.3258426966293, Reward -4700, Record 600
Game 90, Game Loss -4.212494303190057e+17, Mean Loss -6.312673782687334e+16, Actions 12, Mean reward -1026.6666666666667, Reward 100, Record 600
Game 91, Game Loss -4.1451066099132006e+17, Mean Loss -6.698809810957107e+16, Actions 48, Mean reward -1040.6593406593406, Reward -2300, Record 600
Game 92, Game Loss -5.0750938169317786e+17, Mean Loss -7.177636816932045e+16, Actions 62, Mean reward -1067.391304347826, Reward -3500, Record 600
Game 93, Game Loss -5.68097935582036e+17, Mean Loss -7.711315709237658e+16, Actions 26, Mean reward -1063.4408602150538, Reward -700, Record 600
Game 94, Game Loss -5.150869409539031e+17, Mean Loss -8.177245787416166e+16, Actions 5, Mean reward -1052.127659574468, Reward 0, Record 600
Game 95, Game Loss -5.3681823852108186e+17, Mean Loss -8.656241156109107e+16, Actions 13, Mean reward -1053.6842105263158, Reward -1200, Record 600
Game 96, Game Loss -5.7008396281944474e+17, Mean Loss -9.159910252924109e+16, Actions 17, Mean reward -1042.7083333333333, Reward 0, Record 600
Game 97, Game Loss -6.6543254602829e+17, Mean Loss -9.751490458340557e+16, Actions 23, Mean reward -1050.5154639175257, Reward -1800, Record 600
Game 98, Game Loss -7.003107728482632e+17, Mean Loss -1.0366588186682982e+17, Actions 57, Mean reward -1076.530612244898, Reward -3600, Record 600
Game 99, Game Loss -6.30872902702465e+17, Mean Loss -1.0899121181714022e+17, Actions 8, Mean reward -1068.6868686868686, Reward -300, Record 600
Game 100, Game Loss -6.749080685169869e+17, Mean Loss -1.1465037239549952e+17, Actions 28, Mean reward -1085.0, Reward -2700, Record 600
Game 101, Game Loss -7.897025800149402e+17, Mean Loss -1.2133405447264666e+17, Actions 9, Mean reward -1080.1980198019803, Reward -600, Record 600
