Command main.py play --no-gui --agents imitation_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 67, Game Loss 0.13116960227489471, Mean Loss 0.1313524693250656, Actions 5, Mean reward -640.2985074626865, Reward -200, Record 100
Game 68, Game Loss 0.07211054116487503, Mean Loss 0.13048125803470612, Actions 8, Mean reward -641.1764705882352, Reward -700, Record 100
Game 69, Game Loss 0.08678194880485535, Mean Loss 0.1298479288816452, Actions 7, Mean reward -634.7826086956521, Reward -200, Record 100
Game 70, Game Loss 0.05920576676726341, Mean Loss 0.12883876264095306, Actions 8, Mean reward -632.8571428571429, Reward -500, Record 100
Game 71, Game Loss 0.09236295521259308, Mean Loss 0.12832501530647278, Actions 15, Mean reward -632.3943661971831, Reward -600, Record 100
Game 72, Game Loss 0.05875412002205849, Mean Loss 0.12735874950885773, Actions 59, Mean reward -662.5, Reward -2800, Record 100
Game 73, Game Loss 0.07765073329210281, Mean Loss 0.12667782604694366, Actions 10, Mean reward -665.7534246575342, Reward -900, Record 100
Game 74, Game Loss 0.009057273156940937, Mean Loss 0.12508836388587952, Actions 7, Mean reward -664.8648648648649, Reward -600, Record 100
Game 75, Game Loss 0.0070791952311992645, Mean Loss 0.12351489812135696, Actions 7, Mean reward -664.0, Reward -600, Record 100
Game 76, Game Loss 0.0867566242814064, Mean Loss 0.12303123623132706, Actions 6, Mean reward -659.2105263157895, Reward -300, Record 100
Game 77, Game Loss 0.02161981537938118, Mean Loss 0.12171420454978943, Actions 7, Mean reward -655.8441558441558, Reward -400, Record 100
Game 78, Game Loss 0.007936823181807995, Mean Loss 0.12025552242994308, Actions 8, Mean reward -656.4102564102565, Reward -700, Record 100
Game 79, Game Loss 0.0968102365732193, Mean Loss 0.11995874345302582, Actions 32, Mean reward -656.9620253164557, Reward -700, Record 100
Game 80, Game Loss 0.10828474909067154, Mean Loss 0.11981282383203506, Actions 15, Mean reward -653.75, Reward -400, Record 100
Game 81, Game Loss 0.048766955733299255, Mean Loss 0.1189357116818428, Actions 9, Mean reward -643.2098765432099, Reward 200, Record 200
Game 82, Game Loss 0.03345945477485657, Mean Loss 0.11789332330226898, Actions 13, Mean reward -637.8048780487804, Reward -200, Record 200
Game 83, Game Loss 0.126988485455513, Mean Loss 0.11800290644168854, Actions 11, Mean reward -642.1686746987951, Reward -1000, Record 200
Game 84, Game Loss 0.06094782426953316, Mean Loss 0.11732367426156998, Actions 24, Mean reward -652.3809523809524, Reward -1500, Record 200
Game 85, Game Loss 0.10560325533151627, Mean Loss 0.11718578636646271, Actions 17, Mean reward -649.4117647058823, Reward -400, Record 200
Game 86, Game Loss 0.05590924248099327, Mean Loss 0.11647326499223709, Actions 10, Mean reward -647.6744186046511, Reward -500, Record 200
Game 87, Game Loss 0.04875858873128891, Mean Loss 0.11569493263959885, Actions 5, Mean reward -642.528735632184, Reward -200, Record 200
Game 88, Game Loss 0.08703698962926865, Mean Loss 0.1153692752122879, Actions 25, Mean reward -648.8636363636364, Reward -1200, Record 200
Game 89, Game Loss 0.07825123518705368, Mean Loss 0.1149522140622139, Actions 7, Mean reward -643.8202247191011, Reward -200, Record 200
Game 90, Game Loss 0.0587235726416111, Mean Loss 0.11432745307683945, Actions 22, Mean reward -653.3333333333334, Reward -1500, Record 200
Game 91, Game Loss 0.08303851634263992, Mean Loss 0.11398361623287201, Actions 37, Mean reward -657.1428571428571, Reward -1000, Record 200
Game 92, Game Loss 0.12223660200834274, Mean Loss 0.11407332122325897, Actions 7, Mean reward -652.1739130434783, Reward -200, Record 200
Game 93, Game Loss 0.0636371523141861, Mean Loss 0.11353098601102829, Actions 15, Mean reward -653.763440860215, Reward -800, Record 200
Game 94, Game Loss 0.05358806625008583, Mean Loss 0.11289329826831818, Actions 16, Mean reward -656.3829787234042, Reward -900, Record 200
Game 95, Game Loss 0.1029403805732727, Mean Loss 0.11278852820396423, Actions 23, Mean reward -653.6842105263158, Reward -400, Record 200
Game 96, Game Loss 0.1082039624452591, Mean Loss 0.11274077743291855, Actions 18, Mean reward -656.25, Reward -900, Record 200
Game 97, Game Loss 0.10845918208360672, Mean Loss 0.11269664019346237, Actions 8, Mean reward -652.5773195876288, Reward -300, Record 200
