Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 51, Game Loss -7.567328085126467e+19, Mean Loss -3.8232033603073606e+19, Actions 29, Mean reward 202.3549422962668, Final reward 0.0,  Reward 746.0, Record 2396.0
Game 52, Game Loss -7.815640911534096e+19, Mean Loss -3.899980937861005e+19, Actions 7, Mean reward 198.84811648287706, Final reward 0.0,  Reward 20.0, Record 2396.0
Game 53, Game Loss -8.432741372818725e+19, Mean Loss -3.9855049105112826e+19, Actions 6, Mean reward 190.19060485112465, Final reward 0.0,  Reward -260.0, Record 2396.0
Game 54, Game Loss -7.63287657032796e+19, Mean Loss -4.0530487894148645e+19, Actions 6, Mean reward 181.1130010575853, Final reward 0.0,  Reward -300.0, Record 2396.0
Game 55, Game Loss -6.99847859211516e+19, Mean Loss -4.1066020425619735e+19, Actions 5, Mean reward 178.1836737656292, Final reward 0.0,  Reward 20.0, Record 2396.0
Game 56, Game Loss -9.049517258270835e+19, Mean Loss -4.194868637016575e+19, Actions 13, Mean reward 181.21610816267156, Final reward 0.0,  Reward 348.0, Record 2396.0
Game 57, Game Loss -7.500086352018198e+19, Mean Loss -4.252854681242226e+19, Actions 6, Mean reward 176.63336942297556, Final reward 0.0,  Reward -80.0, Record 2396.0
Game 58, Game Loss -1.0371538373573817e+20, Mean Loss -4.358349303490124e+19, Actions 22, Mean reward 178.7603802949932, Final reward 0.0,  Reward 300.0, Record 2396.0
Game 59, Game Loss -9.920480880660106e+19, Mean Loss -4.452622749869592e+19, Actions 13, Mean reward 172.34071283236622, Final reward 0.0,  Reward -200.0, Record 2396.0
Game 60, Game Loss -8.494220785388146e+19, Mean Loss -4.519982350624358e+19, Actions 6, Mean reward 178.80170095182677, Final reward 0.0,  Reward 560.0, Record 2396.0
Game 61, Game Loss -1.1122217183102999e+20, Mean Loss -4.628216076239372e+19, Actions 24, Mean reward 190.29675503458373, Final reward 0.0,  Reward 880.0, Record 2396.0
Game 62, Game Loss -1.2117800332993705e+20, Mean Loss -4.7490159003459125e+19, Actions 41, Mean reward 198.58229124370334, Final reward 0.0,  Reward 704.0, Record 2396.0
Game 63, Game Loss -1.1789762358260688e+20, Mean Loss -4.860773340825623e+19, Actions 8, Mean reward 193.8428897953906, Final reward 0.0,  Reward -100.0, Record 2396.0
Game 64, Game Loss -1.4089606432033237e+20, Mean Loss -5.004973851003794e+19, Actions 14, Mean reward 186.4390946423376, Final reward 0.0,  Reward -280.0, Record 2396.0
Game 65, Game Loss -1.2257346830353826e+20, Mean Loss -5.116548772553294e+19, Actions 18, Mean reward 183.0169547247632, Final reward 0.0,  Reward -36.0, Record 2396.0
Game 66, Game Loss -1.1514979449121328e+20, Mean Loss -5.213494471992908e+19, Actions 9, Mean reward 184.18336450166072, Final reward 0.0,  Reward 260.0, Record 2396.0
Game 67, Game Loss -1.4803979367613255e+20, Mean Loss -5.356635932571206e+19, Actions 25, Mean reward 193.55376204641203, Final reward 0.0,  Reward 812.0, Record 2396.0
